dimension,mean_hedonic,mean_eudaimonic,mean_delta,std_delta,wilcoxon_stat,wilcoxon_p,ttest_stat,ttest_p_twosided,n_scales,effect_size_d
Foundational claim,0.17637266604128374,0.12539565229116062,0.050977013750123104,0.02600533141880348,460.0,9.313225746154785e-09,10.736744668058577,1.2842442701309415e-11,30,1.9602524162896664
Evaluative criterion,0.3375407694974956,0.2551006856737838,0.08244008382371178,0.03573258259109803,464.0,1.862645149230957e-09,12.636728240323961,2.5541076939832735e-13,30,2.3071403700959996
Time horizon,0.34578772328470625,0.216055285539687,0.12973243774501922,0.03395294632213875,465.0,9.313225746154785e-10,20.928193364694614,4.784288385004238e-19,30,3.820947864557728
Adversity,0.2371205152674568,0.13614255297835617,0.10097796228910065,0.03621402393984448,465.0,9.313225746154785e-10,15.272510961090381,2.1092353897356977e-15,30,2.7883662543780354
Measurement proxies,0.49201216571183826,0.3767975187166586,0.11521464699517966,0.05417354124292984,460.0,9.313225746154785e-09,11.648797487923236,1.857947691005085e-12,30,2.1267697173150233
Central tension,0.22983816469189342,0.18424232637670487,0.04559583831518859,0.024319865500812873,461.0,6.51925802230835e-09,10.26891747109062,3.6023539184929935e-11,30,1.874839246691746
