scale,usage_weight,mean_delta,domain
FMI,0.005283664915284255,0.0169306978554921,Eudaimonic & Flourishing
MAAS,0.0047080701340102725,0.013895733322260647,Eudaimonic & Flourishing
RSE,0.009829387803294173,0.04295049809031589,Eudaimonic & Flourishing
PSC-17,0.00042800637581911566,0.0937848334019497,General Distress & Psychopathology
SRS-2,0.0020662376763681445,0.057701549931133876,Psychosis & Severe Mental Illness
GAD-2,0.002036719995277171,0.10303779325032619,Anxiety & Stress
PHQ-2,0.004958970423283547,0.11389396943419589,Mood & Depression
QOLS,0.014271798807485685,0.03831725760299912,Eudaimonic & Flourishing
VR-12,0.0024499675305508,0.027510906385014817,Functional & Quality of Life
Connor-Davidson-10,0.0007969773894562843,-0.010480768094506024,Eudaimonic & Flourishing
FFMQ,0.0024942440521872602,0.0067660421521386445,Eudaimonic & Flourishing
SCS,0.049191215538107326,0.019436539400708108,Eudaimonic & Flourishing
PERMA-P,0.00039848869472814216,0.02158751108265694,Eudaimonic & Flourishing
SBI,0.006877619694196824,-0.03321659321859305,Eudaimonic & Flourishing
EPOCH,0.013548615620756833,-0.02479091493101408,Eudaimonic & Flourishing
CASP-19,0.00029517681090973494,0.027048922569777367,Eudaimonic & Flourishing
SPF-IL,0.0,0.03715197830540329,Eudaimonic & Flourishing
BSSI,0.0012692602869118603,0.06654498230629645,Mood & Depression
LSAS,0.0017710608654584097,0.07400595889405809,Anxiety & Stress
PDQ-4,0.00014758840545486747,0.06278055510777407,Psychosis & Severe Mental Illness
WHODAS-12,0.00016234724600035422,0.009303261769827412,Functional & Quality of Life
DTS,0.009047169254383376,0.08256927935827361,Trauma & PTSD
ZSDS,0.0012692602869118603,0.1035800163779394,Mood & Depression
ZSAS,0.000929806954365665,0.11572286578787462,Anxiety & Stress
HDRS-21,0.0001918649270913277,0.0526870981282486,Mood & Depression
TAS-20,0.0033059802821890313,0.06272676178094666,General Distress & Psychopathology
IRI,0.002213826081823012,0.04049243063448169,Eudaimonic & Flourishing
YBOCS-II,1.4758840545486746e-05,0.06105386699025752,Anxiety & Stress
PSAS,0.003970128106735935,0.08913672271852775,Functional & Quality of Life
BASIS-24,4.427652163646024e-05,0.0698235438279091,General Distress & Psychopathology
SIAS,0.002080996516913631,0.06493961718682251,Anxiety & Stress
SPS,0.0002804179703642482,0.06566150583265788,Anxiety & Stress
CSSQ,0.0016972666627309758,0.059452202137446265,Functional & Quality of Life
PSQ,0.004811382017828679,0.06095363830255766,Eudaimonic & Flourishing
ASRS,0.010847747800932759,0.06414218712338272,General Distress & Psychopathology
BARS,0.00013282956490938072,0.09449227285908661,Psychosis & Severe Mental Illness
SAS,0.00017710608654584095,0.07590763266406143,Psychosis & Severe Mental Illness
SAPS,0.009667040557293819,0.06971236706371697,Psychosis & Severe Mental Illness
CDRS-R,0.0006346301434559301,0.09315408708559547,Mood & Depression
CBCL-YSR,8.855304327292048e-05,0.08035340261557056,General Distress & Psychopathology
ADOS-2,0.0023614144872778796,0.03352888406332688,Psychosis & Severe Mental Illness
CARS-2,0.00036897101363716865,0.06990500731893977,Psychosis & Severe Mental Illness
NPI,0.0055050475234665565,0.08864299412533694,Psychosis & Severe Mental Illness
DSHI,0.00039848869472814216,0.06004099074295943,Mood & Depression
PCL-C,0.0016382313005490288,0.08786130726218146,Trauma & PTSD
TSC-40,0.00017710608654584095,0.06014098034892107,Trauma & PTSD
CTQ,0.010036011570930987,0.05958803886730777,Trauma & PTSD
DES,0.0010036011570930987,0.047480458882835606,Trauma & PTSD
PHQ-4,0.004929452742192573,0.10125247730670876,General Distress & Psychopathology
SDI,0.00013282956490938072,0.06879885217524682,Functional & Quality of Life
BRIEF,0.002981285790188323,0.010035171112232788,General Distress & Psychopathology
ABAS-3,0.00029517681090973494,-0.006258040439414673,Functional & Quality of Life
ACT,0.0,-0.062420897893829874,Eudaimonic & Flourishing
VIA-IS,0.00036897101363716865,-0.07662240224961081,Eudaimonic & Flourishing
GRIT-S,0.0007379420272743373,-0.048550553643958015,Eudaimonic & Flourishing
SPQ,0.0015349194167306216,0.05059407107896324,Psychosis & Severe Mental Illness
SOS-10,4.427652163646024e-05,0.039073928132464186,General Distress & Psychopathology
BIS-11,0.002376173327823366,0.04769139405892462,General Distress & Psychopathology
SCID-5-PD,0.0001918649270913277,0.039244202106864225,Psychosis & Severe Mental Illness
AQ,0.0025827970954601805,0.02392363570259226,Psychosis & Severe Mental Illness
MPSS,0.002036719995277171,0.08791288592603592,Trauma & PTSD
PAI,0.0007969773894562843,0.06775543334010552,General Distress & Psychopathology
OCI-R,0.0009740834760021252,0.08056884908261625,Anxiety & Stress
PSS-10,0.0058592596965582385,0.0691263268416273,Anxiety & Stress
STAXI-2,0.00045752405691008917,0.05665939367980786,General Distress & Psychopathology
MAST,2.951768109097349e-05,0.05719394065295715,Substance Use & Addiction
FTND,0.0016825078221854891,0.06267866290655157,Substance Use & Addiction
BES,0.008146879981108685,0.07526815883816768,General Distress & Psychopathology
EDE-Q,0.004870417380010626,0.049987133096276504,General Distress & Psychopathology
DASS-42,0.0007231831867288506,0.10678734473863068,General Distress & Psychopathology
MFI,0.02041147647440817,0.037644279700672766,Functional & Quality of Life
FSS,0.00811736230001771,0.049031550006714796,Functional & Quality of Life
SRS,0.00013282956490938072,0.0853368502045078,General Distress & Psychopathology
TICS,0.009770352441112226,0.06909947575573559,Anxiety & Stress
MAIA,0.0033354979632800046,0.059619958910588945,Eudaimonic & Flourishing
DAS,0.0008560127516382313,0.048074057665607885,Functional & Quality of Life
RAS,0.0002804179703642482,0.08683867192462973,Functional & Quality of Life
MSPSS,0.007615561721471161,0.04937889372746879,Eudaimonic & Flourishing
UCLA-LS,0.006036365783104079,0.08137777414722841,General Distress & Psychopathology
CSS,0.00014758840545486747,0.07024946901661704,Anxiety & Stress
WAI,0.0012692602869118603,0.01764325203463683,Functional & Quality of Life
CSQ-R,8.855304327292048e-05,0.08190324158238736,General Distress & Psychopathology
DERS-SF,0.00036897101363716865,0.056140082503294865,General Distress & Psychopathology
RSES-SF,0.0,0.03825979985230186,Eudaimonic & Flourishing
SRIS,0.0008412539110927446,-0.00465922903768697,Eudaimonic & Flourishing
GQ-6,0.00033945333254619515,0.03014204897416689,Eudaimonic & Flourishing
ILS,0.0,-0.06874319021879906,Eudaimonic & Flourishing
WBSI,4.427652163646024e-05,0.05480764980738532,General Distress & Psychopathology
ORS,0.00020662376763681446,0.03915738308250649,General Distress & Psychopathology
SRS-Therapy,0.00014758840545486747,0.043235971446152675,Functional & Quality of Life
BSL-23,0.0003542121730916819,0.09474206564548149,Psychosis & Severe Mental Illness
MSI-BPD,0.0002213826081823012,0.07962524039366758,Psychosis & Severe Mental Illness
SOFAS,0.0005755947812739831,0.029356752903019773,Functional & Quality of Life
TSK,0.006464372158923195,0.045545701929536185,Functional & Quality of Life
PCS,0.006434854477832221,0.08720046177247624,General Distress & Psychopathology
AIS,0.003911092744553988,0.0760617349914412,Functional & Quality of Life
GDS-15,0.003837298541826554,0.08912642883294548,Mood & Depression
CORE-10,0.0005755947812739831,0.08173648105348404,General Distress & Psychopathology
PHQ-A,0.0006198713029104434,0.06104270626706058,Mood & Depression
K-6,0.0031141153550977036,0.10028459477832517,General Distress & Psychopathology
EAT-26,0.0026713501387331012,0.053030694850056646,General Distress & Psychopathology
HONOS,0.0009593246354566385,0.04165784474461084,Functional & Quality of Life
Q-LES-Q,0.0006789066650923903,0.08173885694168281,Functional & Quality of Life
QoL-BD,8.855304327292048e-05,0.03347402528729091,Functional & Quality of Life
DOCS,0.00013282956490938072,0.054530952290027114,Anxiety & Stress
PI-WSUR,1.4758840545486746e-05,0.06122393605361572,Anxiety & Stress
SIAS-6,7.379420272743374e-05,0.07516973900498386,Anxiety & Stress
SPS-6,0.0003099356514552217,0.07264550518051839,Anxiety & Stress
ISEL-12,5.903536218194698e-05,0.04367180347164149,Eudaimonic & Flourishing
DASS-12,0.00011807072436389397,0.09864834639027292,General Distress & Psychopathology
BIEPS,2.951768109097349e-05,-0.04284964358490365,Eudaimonic & Flourishing
BBC-SWB,0.0,0.05937983861984003,Eudaimonic & Flourishing
ICECAP-A,0.0007084243461833638,-0.0026275335521621277,Eudaimonic & Flourishing
SPWB,0.00017710608654584095,-0.029440675983459823,Eudaimonic & Flourishing
MHC-LF,0.0,0.003676519576465772,Eudaimonic & Flourishing
Cantril-Ladder,0.0002804179703642482,0.059543866977093685,Eudaimonic & Flourishing
FLCS,0.0017415431843674362,-0.033277866542555636,Eudaimonic & Flourishing
PWB-S,0.0,-0.014970279987400434,Eudaimonic & Flourishing
