scale,usage_weight,mean_delta,domain
PHQ-9,0.06846626129051302,0.1065700060180353,Mood & Depression
GAD-7,0.03294173209752642,0.08746364280807835,Anxiety & Stress
BDI-II,0.012810673593482496,0.10220842006343628,Mood & Depression
BAI,0.01778440285731153,0.11466356520609972,Anxiety & Stress
DASS-21,0.017075978511128166,0.10995808969085787,General Distress & Psychopathology
SCL-90-R,0.002863215065824429,0.09689911411441432,General Distress & Psychopathology
HAM-A,0.008264950705472578,0.10907198656961466,Anxiety & Stress
STAI,0.021488871834228703,0.0770551565568315,Anxiety & Stress
PSQI,0.060954011452860266,0.0799195991906297,Functional & Quality of Life
PCL-5,0.008235433024381605,0.08086688577811778,Trauma & PTSD
AUDIT,0.0055050475234665565,0.06521272405153711,Substance Use & Addiction
OQ-45,0.0006198713029104434,0.06795049120890134,General Distress & Psychopathology
K10,0.007615561721471161,0.10482888735238645,General Distress & Psychopathology
CORE-OM,0.0004427652163646024,0.08869187617371617,General Distress & Psychopathology
SDS,0.0014168486923667276,0.05194942309344993,Functional & Quality of Life
WHODAS-2.0,0.002922250428006376,-0.01190847003416364,Functional & Quality of Life
Y-BOCS,0.004796623177283192,0.05876842096418631,Anxiety & Stress
EPDS,0.017489226046401796,0.09813676433119543,Mood & Depression
C-SSRS,0.0030698388334612432,0.06252981278837381,Mood & Depression
EQ-5D,0.05646732392703229,0.06329900827935629,Functional & Quality of Life
MDQ,0.0005903536218194699,0.09487489290708338,Mood & Depression
YMRS,0.0034535686876438986,0.07929563665116938,Mood & Depression
PSS,0.07091622882106381,0.07591466206032253,Anxiety & Stress
QIDS-SR,0.0007969773894562843,0.10649928648928098,Mood & Depression
GHQ-12,0.003896333904008501,0.08243055735849496,General Distress & Psychopathology
PANAS,0.004560481728555404,0.12449289891431313,General Distress & Psychopathology
IES-R,0.004147234193281776,0.08941510519726593,Trauma & PTSD
CAPS-5,0.0018300962276403567,0.07969818629761549,Trauma & PTSD
DAST-10,0.00023614144872778793,0.06995316946687608,Substance Use & Addiction
CAGE,0.0002213826081823012,0.0761797657710973,Substance Use & Addiction
ASSIST,0.0011807072436389398,0.05969138519441636,Substance Use & Addiction
PHQ-15,0.0024056910089143395,0.11590385075883758,General Distress & Psychopathology
WHOQOL-BREF,0.013415786055847452,0.0568594184367767,Functional & Quality of Life
PROMIS,0.03252848456225279,0.06187399541226287,Functional & Quality of Life
MOS-SS,0.0003099356514552217,0.07888011255278639,Functional & Quality of Life
ASI,0.0007527008678198241,0.04060708310805742,Substance Use & Addiction
BHS,0.0038668162229175277,0.06983676679433982,Mood & Depression
DERS,0.0056969124505578846,0.04852395077164218,General Distress & Psychopathology
PCQ,0.0020957553574591182,-0.03112486063108838,Eudaimonic & Flourishing
WEMWBS,0.0026418324576421275,0.03737103584824166,Eudaimonic & Flourishing
SWLS,0.007128519983470099,0.05045864709081558,Eudaimonic & Flourishing
WHO-5,0.0070547257807426645,0.06877762434733627,General Distress & Psychopathology
SCARED,0.000929806954365665,0.09481487633927176,Anxiety & Stress
SDQ,0.013209162288210638,0.07075671116163477,General Distress & Psychopathology
RCADS,0.001328295649093807,0.09446881956503499,Anxiety & Stress
ACE,0.0008707715921837181,0.04748369534495519,Trauma & PTSD
MBI,0.023850286321506584,0.024543144910711374,General Distress & Psychopathology
WHOQOL-100,0.0002213826081823012,0.014547611652615847,Functional & Quality of Life
MHC-SF,0.0014316075329122145,0.021881017592899305,Eudaimonic & Flourishing
SF-12,0.016485624889308697,0.04246507988400074,Functional & Quality of Life
SAS-SR,5.903536218194698e-05,-0.005271035472458792,Functional & Quality of Life
RRS,0.042033177873546254,0.045595147958407876,Mood & Depression
AUDIT-C,0.003202668398370624,0.056253516093959434,Substance Use & Addiction
ERQ,0.0038077808607355807,0.04862660791599127,General Distress & Psychopathology
AAQ-II,0.0014316075329122145,0.02810848167475627,General Distress & Psychopathology
WSAS,0.001165948403093453,0.031074205393353743,Functional & Quality of Life
MFQ,0.0012987779680028338,0.10750085623166718,Mood & Depression
SPIN,0.0004870417380010626,0.08778265976689216,Anxiety & Stress
PGI,0.009150481138201784,-0.08306421670149927,Eudaimonic & Flourishing
RYFF-PWB,1.4758840545486746e-05,-0.06653184447807413,Eudaimonic & Flourishing
BPNS,0.001520160576185135,0.0013248925914677856,Eudaimonic & Flourishing
MLQ,0.0018743727492768168,0.010487575544668596,Eudaimonic & Flourishing
FS,0.0007231831867288506,-0.017676247955160356,Eudaimonic & Flourishing
PIL,0.0001918649270913277,-0.006247895515373303,Eudaimonic & Flourishing
COMPAS-W,7.379420272743374e-05,0.04218257364609921,Eudaimonic & Flourishing
SHS,0.010773953598205325,0.09797223555368138,Eudaimonic & Flourishing
PWI,0.0037044689769171733,0.06187067418121881,Eudaimonic & Flourishing
PGIS-II,8.855304327292048e-05,-0.07770045532245497,Eudaimonic & Flourishing
LOT-R,0.0009002892732746916,0.04847267625596835,Eudaimonic & Flourishing
SWB,0.00544601216128461,0.10230125699784627,Eudaimonic & Flourishing
SOC-13,0.0009740834760021252,-0.0025637109234742015,Eudaimonic & Flourishing
