dimension,mean_hedonic,mean_eudaimonic,mean_delta,cohen_d,wilcoxon_stat,wilcoxon_p,ttest_p,n_scales,mean_delta_weighted,cohen_d_weighted,p_adjusted
Foundational claim,0.19104874272333133,0.14567886455495863,0.045369878168372686,1.5345398901929714,1246.0,1.5445422718585178e-12,1.2488063241567931e-14,50,0.04445103547923387,1.6548527611719877,7.722711359292589e-12
Evaluative criterion,0.33534617250432014,0.26682745930679963,0.06851871319752055,1.7109912463383847,1244.0,2.1094237467877974e-12,2.500681539378861e-16,50,0.07037795864448755,1.9329138281643392,8.43769498715119e-12
Time horizon,0.3478744799795929,0.23768323482893652,0.11019124515065643,2.3742946055092307,1269.0,1.2434497875801753e-14,5.839315253719119e-22,50,0.11812741105732724,2.635467256310498,7.460698725481052e-14
Adversity,0.22911340226569313,0.1567622920015282,0.07235111026416492,1.3819231383272887,1202.0,3.618598753973856e-10,4.3092728797953414e-13,50,0.07327323241764995,1.686909918345989,1.0855796261921569e-09
Measurement proxies,0.4389190089314851,0.39239681674531973,0.04652219218616544,0.7736797813210885,1118.0,3.1773924469291615e-07,1.5125138958066013e-06,50,0.052289280974364014,0.9958706013055144,3.1773924469291615e-07
Central tension,0.242710402849108,0.20451059149869902,0.03819981135040896,0.9167996358290066,1149.0,3.6176180273628233e-08,4.2000526568977304e-08,50,0.036914875023442775,1.0812774102649592,7.235236054725647e-08
