dimension,mean_hedonic,mean_eudaimonic,mean_delta,cohen_d,wilcoxon_stat,wilcoxon_p,ttest_p,n_scales,mean_delta_weighted,cohen_d_weighted,p_adjusted
Foundational claim,0.19017529938635316,0.15281230155050635,0.03736299783584683,1.193423976947842,16837.0,8.407080994639006e-26,3.980049685448309e-38,189,0.043568117343610484,1.6053847264556242,3.3628323978556023e-25
Evaluative criterion,0.3328296269962687,0.27649805943289474,0.05633156756337402,1.3505286924779778,17192.0,5.256816053700973e-28,2.1742700192854689e-44,189,0.0688421815696256,1.859646480226442,2.628408026850487e-27
Time horizon,0.3458918191609515,0.24290945531573302,0.10298236384521851,2.0458794832149767,17840.0,2.823980934210997e-32,2.7787941557681104e-69,189,0.11640716178612281,2.602205006759983,1.6943885605265982e-31
Adversity,0.22679877150913316,0.16221635001909596,0.06458242149003716,1.1877235823032493,16677.0,7.703361208762911e-25,6.767815186271029e-38,189,0.07314360521006594,1.6477272133429364,2.3110083626288734e-24
Measurement proxies,0.42714534545599075,0.4023234899183512,0.02482185553763953,0.36225785498494006,13125.0,1.8184904818252117e-08,1.432675307979224e-06,189,0.04950016572733765,0.9114983265356817,1.8184904818252117e-08
Central tension,0.2360181289480268,0.20669919504432943,0.029318933903697327,0.6803231136185561,15136.0,1.441582385278158e-16,2.5790609730831933e-17,189,0.035357229931470696,1.0006176318543265,2.883164770556316e-16
