scale,year,count
BRIEF,2007,9
BRIEF,2008,5
BRIEF,2009,13
BRIEF,2010,17
BRIEF,2011,25
BRIEF,2012,26
BRIEF,2013,43
BRIEF,2014,67
BRIEF,2015,61
BRIEF,2016,59
BRIEF,2017,68
BRIEF,2018,78
BRIEF,2019,76
BRIEF,2020,97
BRIEF,2021,103
BRIEF,2022,128
BRIEF,2023,105
BRIEF,2024,98
BRIEF,2025,104
ABAS-3,2000,0
ABAS-3,2001,0
ABAS-3,2002,0
ABAS-3,2003,0
ABAS-3,2004,0
ABAS-3,2005,0
ABAS-3,2006,0
ABAS-3,2007,0
ABAS-3,2008,0
ABAS-3,2009,0
ABAS-3,2010,0
ABAS-3,2011,0
ABAS-3,2012,0
ABAS-3,2013,0
ABAS-3,2014,0
ABAS-3,2015,0
ABAS-3,2016,0
ABAS-3,2017,2
ABAS-3,2018,0
ABAS-3,2019,1
ABAS-3,2020,2
ABAS-3,2021,5
ABAS-3,2022,12
ABAS-3,2023,5
ABAS-3,2024,9
ABAS-3,2025,11
ACT,2000,0
ACT,2001,0
ACT,2002,0
ACT,2003,0
ACT,2004,0
ACT,2005,0
ACT,2006,0
ACT,2007,0
ACT,2008,0
ACT,2009,0
ACT,2010,0
ACT,2011,0
ACT,2012,0
ACT,2013,0
ACT,2014,0
ACT,2015,0
ACT,2016,0
ACT,2017,0
ACT,2018,0
ACT,2019,0
ACT,2020,0
ACT,2021,0
ACT,2022,0
ACT,2023,0
ACT,2024,0
ACT,2025,0
SOS-10,2000,0
SOS-10,2001,1
SOS-10,2002,3
SOS-10,2003,2
SOS-10,2004,1
SOS-10,2005,0
SOS-10,2006,1
SOS-10,2007,0
SOS-10,2008,0
SOS-10,2009,0
SOS-10,2010,1
SOS-10,2011,0
SOS-10,2012,2
SOS-10,2013,1
SOS-10,2014,4
SOS-10,2015,2
SOS-10,2016,1
SOS-10,2017,0
SOS-10,2018,1
SOS-10,2019,1
SOS-10,2020,4
SOS-10,2021,4
SOS-10,2022,1
SOS-10,2023,2
SOS-10,2024,3
SOS-10,2025,0
BIS-11,2000,2
BIS-11,2001,6
BIS-11,2002,6
BIS-11,2003,3
BIS-11,2004,8
BIS-11,2005,5
BIS-11,2006,6
BIS-11,2007,11
BIS-11,2008,17
BIS-11,2009,15
BIS-11,2010,25
BIS-11,2011,35
BIS-11,2012,52
BIS-11,2013,52
BIS-11,2014,60
BIS-11,2015,63
BIS-11,2016,54
BIS-11,2017,55
BIS-11,2018,66
BIS-11,2019,61
BIS-11,2020,72
BIS-11,2021,62
BIS-11,2022,77
BIS-11,2023,59
BIS-11,2024,70
BIS-11,2025,91
SCID-5-PD,2000,0
SCID-5-PD,2001,0
SCID-5-PD,2002,0
SCID-5-PD,2003,0
SCID-5-PD,2004,0
SCID-5-PD,2005,0
SCID-5-PD,2006,0
SCID-5-PD,2007,0
SCID-5-PD,2008,0
SCID-5-PD,2009,0
SCID-5-PD,2010,0
SCID-5-PD,2011,0
SCID-5-PD,2012,0
SCID-5-PD,2013,0
SCID-5-PD,2014,0
SCID-5-PD,2015,0
SCID-5-PD,2016,0
SCID-5-PD,2017,0
SCID-5-PD,2018,0
SCID-5-PD,2019,2
SCID-5-PD,2020,3
SCID-5-PD,2021,5
SCID-5-PD,2022,3
SCID-5-PD,2023,5
SCID-5-PD,2024,3
SCID-5-PD,2025,10
AQ,2000,0
AQ,2001,2
AQ,2002,0
AQ,2003,0
AQ,2004,3
AQ,2005,5
AQ,2006,6
AQ,2007,9
AQ,2008,11
AQ,2009,9
AQ,2010,13
AQ,2011,27
AQ,2012,35
AQ,2013,47
AQ,2014,50
AQ,2015,59
AQ,2016,48
AQ,2017,61
AQ,2018,72
AQ,2019,67
AQ,2020,76
AQ,2021,94
AQ,2022,77
AQ,2023,87
AQ,2024,74
AQ,2025,101
PAI,2000,7
PAI,2001,10
PAI,2002,7
PAI,2003,9
PAI,2004,4
PAI,2005,6
PAI,2006,9
PAI,2007,29
PAI,2008,21
PAI,2009,25
PAI,2010,25
PAI,2011,16
PAI,2012,27
PAI,2013,22
PAI,2014,23
PAI,2015,31
PAI,2016,28
PAI,2017,28
PAI,2018,36
PAI,2019,28
PAI,2020,28
PAI,2021,31
PAI,2022,33
PAI,2023,23
PAI,2024,22
PAI,2025,32
PSS-10,2000,1
PSS-10,2001,1
PSS-10,2002,0
PSS-10,2003,0
PSS-10,2004,1
PSS-10,2005,3
PSS-10,2006,2
PSS-10,2007,5
PSS-10,2008,4
PSS-10,2009,4
PSS-10,2010,13
PSS-10,2011,9
PSS-10,2012,13
PSS-10,2013,14
PSS-10,2014,22
PSS-10,2015,23
PSS-10,2016,33
PSS-10,2017,44
PSS-10,2018,45
PSS-10,2019,53
PSS-10,2020,116
PSS-10,2021,197
PSS-10,2022,198
PSS-10,2023,158
PSS-10,2024,176
PSS-10,2025,221
STAXI-2,2000,0
STAXI-2,2001,0
STAXI-2,2002,1
STAXI-2,2003,1
STAXI-2,2004,0
STAXI-2,2005,1
STAXI-2,2006,3
STAXI-2,2007,4
STAXI-2,2008,9
STAXI-2,2009,2
STAXI-2,2010,4
STAXI-2,2011,2
STAXI-2,2012,9
STAXI-2,2013,5
STAXI-2,2014,15
STAXI-2,2015,18
STAXI-2,2016,11
STAXI-2,2017,14
STAXI-2,2018,14
STAXI-2,2019,17
STAXI-2,2020,6
STAXI-2,2021,8
STAXI-2,2022,7
STAXI-2,2023,10
STAXI-2,2024,11
STAXI-2,2025,20
DASS-42,2000,0
DASS-42,2001,0
DASS-42,2002,0
DASS-42,2003,0
DASS-42,2004,0
DASS-42,2005,0
DASS-42,2006,1
DASS-42,2007,2
DASS-42,2008,3
DASS-42,2009,1
DASS-42,2010,2
DASS-42,2011,3
DASS-42,2012,3
DASS-42,2013,1
DASS-42,2014,4
DASS-42,2015,10
DASS-42,2016,7
DASS-42,2017,5
DASS-42,2018,11
DASS-42,2019,12
DASS-42,2020,12
DASS-42,2021,20
DASS-42,2022,33
DASS-42,2023,27
DASS-42,2024,23
DASS-42,2025,26
FSS,2000,14
FSS,2001,9
FSS,2002,15
FSS,2003,16
FSS,2004,22
FSS,2005,26
FSS,2006,39
FSS,2007,36
FSS,2008,51
FSS,2009,53
FSS,2010,65
FSS,2011,79
FSS,2012,80
FSS,2013,105
FSS,2014,102
FSS,2015,111
FSS,2016,129
FSS,2017,112
FSS,2018,124
FSS,2019,153
FSS,2020,188
FSS,2021,215
FSS,2022,249
FSS,2023,189
FSS,2024,263
FSS,2025,287
SRS,2000,1
SRS,2001,0
SRS,2002,0
SRS,2003,1
SRS,2004,1
SRS,2005,1
SRS,2006,0
SRS,2007,0
SRS,2008,2
SRS,2009,1
SRS,2010,0
SRS,2011,0
SRS,2012,0
SRS,2013,2
SRS,2014,1
SRS,2015,1
SRS,2016,2
SRS,2017,1
SRS,2018,1
SRS,2019,0
SRS,2020,2
SRS,2021,6
SRS,2022,7
SRS,2023,8
SRS,2024,4
SRS,2025,5
DAS,2000,8
DAS,2001,3
DAS,2002,5
DAS,2003,9
DAS,2004,10
DAS,2005,11
DAS,2006,6
DAS,2007,10
DAS,2008,12
DAS,2009,15
DAS,2010,23
DAS,2011,27
DAS,2012,29
DAS,2013,20
DAS,2014,28
DAS,2015,27
DAS,2016,28
DAS,2017,34
DAS,2018,33
DAS,2019,32
DAS,2020,37
DAS,2021,39
DAS,2022,22
DAS,2023,30
DAS,2024,28
DAS,2025,30
RAS,2000,1
RAS,2001,1
RAS,2002,1
RAS,2003,0
RAS,2004,3
RAS,2005,1
RAS,2006,1
RAS,2007,1
RAS,2008,1
RAS,2009,1
RAS,2010,2
RAS,2011,2
RAS,2012,3
RAS,2013,2
RAS,2014,2
RAS,2015,5
RAS,2016,3
RAS,2017,3
RAS,2018,5
RAS,2019,9
RAS,2020,7
RAS,2021,8
RAS,2022,5
RAS,2023,11
RAS,2024,9
RAS,2025,10
CSS,2000,0
CSS,2001,0
CSS,2002,0
CSS,2003,0
CSS,2004,0
CSS,2005,0
CSS,2006,0
CSS,2007,0
CSS,2008,0
CSS,2009,0
CSS,2010,0
CSS,2011,0
CSS,2012,0
CSS,2013,0
CSS,2014,0
CSS,2015,0
CSS,2016,0
CSS,2017,0
CSS,2018,0
CSS,2019,0
CSS,2020,7
CSS,2021,12
CSS,2022,6
CSS,2023,6
CSS,2024,6
CSS,2025,4
WAI,2000,2
WAI,2001,3
WAI,2002,3
WAI,2003,3
WAI,2004,4
WAI,2005,3
WAI,2006,11
WAI,2007,4
WAI,2008,10
WAI,2009,8
WAI,2010,13
WAI,2011,19
WAI,2012,20
WAI,2013,25
WAI,2014,25
WAI,2015,32
WAI,2016,29
WAI,2017,20
WAI,2018,31
WAI,2019,37
WAI,2020,35
WAI,2021,51
WAI,2022,53
WAI,2023,38
WAI,2024,40
WAI,2025,46
GQ-6,2000,0
GQ-6,2001,0
GQ-6,2002,0
GQ-6,2003,0
GQ-6,2004,0
GQ-6,2005,0
GQ-6,2006,0
GQ-6,2007,0
GQ-6,2008,0
GQ-6,2009,0
GQ-6,2010,0
GQ-6,2011,1
GQ-6,2012,0
GQ-6,2013,1
GQ-6,2014,1
GQ-6,2015,0
GQ-6,2016,1
GQ-6,2017,3
GQ-6,2018,2
GQ-6,2019,5
GQ-6,2020,8
GQ-6,2021,9
GQ-6,2022,8
GQ-6,2023,13
GQ-6,2024,10
GQ-6,2025,13
ILS,2000,0
ILS,2001,0
ILS,2002,0
ILS,2003,0
ILS,2004,0
ILS,2005,0
ILS,2006,0
ILS,2007,0
ILS,2008,0
ILS,2009,0
ILS,2010,0
ILS,2011,0
ILS,2012,0
ILS,2013,0
ILS,2014,0
ILS,2015,0
ILS,2016,0
ILS,2017,0
ILS,2018,0
ILS,2019,0
ILS,2020,0
ILS,2021,0
ILS,2022,0
ILS,2023,0
ILS,2024,0
ILS,2025,0
ORS,2000,4
ORS,2001,2
ORS,2002,1
ORS,2003,1
ORS,2004,0
ORS,2005,2
ORS,2006,1
ORS,2007,1
ORS,2008,2
ORS,2009,2
ORS,2010,2
ORS,2011,0
ORS,2012,0
ORS,2013,0
ORS,2014,3
ORS,2015,1
ORS,2016,5
ORS,2017,8
ORS,2018,3
ORS,2019,9
ORS,2020,17
ORS,2021,13
ORS,2022,15
ORS,2023,5
ORS,2024,7
ORS,2025,7
BSL-23,2000,0
BSL-23,2001,0
BSL-23,2002,0
BSL-23,2003,0
BSL-23,2004,0
BSL-23,2005,0
BSL-23,2006,0
BSL-23,2007,0
BSL-23,2008,1
BSL-23,2009,3
BSL-23,2010,0
BSL-23,2011,0
BSL-23,2012,0
BSL-23,2013,1
BSL-23,2014,4
BSL-23,2015,1
BSL-23,2016,3
BSL-23,2017,3
BSL-23,2018,8
BSL-23,2019,4
BSL-23,2020,6
BSL-23,2021,6
BSL-23,2022,10
BSL-23,2023,8
BSL-23,2024,7
BSL-23,2025,17
PCS,2000,2
PCS,2001,0
PCS,2002,3
PCS,2003,4
PCS,2004,5
PCS,2005,10
PCS,2006,6
PCS,2007,11
PCS,2008,28
PCS,2009,23
PCS,2010,21
PCS,2011,35
PCS,2012,44
PCS,2013,64
PCS,2014,64
PCS,2015,74
PCS,2016,93
PCS,2017,95
PCS,2018,108
PCS,2019,115
PCS,2020,180
PCS,2021,219
PCS,2022,191
PCS,2023,188
PCS,2024,197
PCS,2025,239
AIS,2000,2
AIS,2001,2
AIS,2002,0
AIS,2003,2
AIS,2004,3
AIS,2005,4
AIS,2006,3
AIS,2007,4
AIS,2008,10
AIS,2009,11
AIS,2010,12
AIS,2011,18
AIS,2012,16
AIS,2013,18
AIS,2014,21
AIS,2015,20
AIS,2016,31
AIS,2017,36
AIS,2018,34
AIS,2019,60
AIS,2020,65
AIS,2021,89
AIS,2022,106
AIS,2023,103
AIS,2024,114
AIS,2025,151
GDS-15,2000,6
GDS-15,2001,5
GDS-15,2002,6
GDS-15,2003,7
GDS-15,2004,13
GDS-15,2005,19
GDS-15,2006,19
GDS-15,2007,27
GDS-15,2008,25
GDS-15,2009,25
GDS-15,2010,36
GDS-15,2011,40
GDS-15,2012,33
GDS-15,2013,52
GDS-15,2014,39
GDS-15,2015,57
GDS-15,2016,63
GDS-15,2017,60
GDS-15,2018,60
GDS-15,2019,71
GDS-15,2020,87
GDS-15,2021,115
GDS-15,2022,115
GDS-15,2023,104
GDS-15,2024,123
GDS-15,2025,137
CORE-10,2000,0
CORE-10,2001,0
CORE-10,2002,1
CORE-10,2003,1
CORE-10,2004,0
CORE-10,2005,1
CORE-10,2006,3
CORE-10,2007,1
CORE-10,2008,3
CORE-10,2009,11
CORE-10,2010,4
CORE-10,2011,1
CORE-10,2012,2
CORE-10,2013,3
CORE-10,2014,3
CORE-10,2015,3
CORE-10,2016,11
CORE-10,2017,5
CORE-10,2018,5
CORE-10,2019,9
CORE-10,2020,10
CORE-10,2021,9
CORE-10,2022,18
CORE-10,2023,19
CORE-10,2024,23
CORE-10,2025,16
K-6,2000,23
K-6,2001,19
K-6,2002,23
K-6,2003,25
K-6,2004,16
K-6,2005,22
K-6,2006,22
K-6,2007,24
K-6,2008,26
K-6,2009,28
K-6,2010,38
K-6,2011,33
K-6,2012,43
K-6,2013,36
K-6,2014,42
K-6,2015,45
K-6,2016,47
K-6,2017,68
K-6,2018,69
K-6,2019,80
K-6,2020,86
K-6,2021,99
K-6,2022,111
K-6,2023,114
K-6,2024,104
K-6,2025,107
EAT-26,2000,10
EAT-26,2001,4
EAT-26,2002,12
EAT-26,2003,8
EAT-26,2004,13
EAT-26,2005,15
EAT-26,2006,29
EAT-26,2007,24
EAT-26,2008,19
EAT-26,2009,28
EAT-26,2010,39
EAT-26,2011,27
EAT-26,2012,22
EAT-26,2013,25
EAT-26,2014,30
EAT-26,2015,38
EAT-26,2016,30
EAT-26,2017,32
EAT-26,2018,46
EAT-26,2019,40
EAT-26,2020,54
EAT-26,2021,77
EAT-26,2022,78
EAT-26,2023,76
EAT-26,2024,87
EAT-26,2025,94
DOCS,2000,0
DOCS,2001,0
DOCS,2002,0
DOCS,2003,0
DOCS,2004,0
DOCS,2005,0
DOCS,2006,0
DOCS,2007,0
DOCS,2008,0
DOCS,2009,0
DOCS,2010,2
DOCS,2011,0
DOCS,2012,0
DOCS,2013,1
DOCS,2014,6
DOCS,2015,4
DOCS,2016,2
DOCS,2017,5
DOCS,2018,5
DOCS,2019,6
DOCS,2020,7
DOCS,2021,11
DOCS,2022,7
DOCS,2023,7
DOCS,2024,6
DOCS,2025,3
SIAS-6,2000,0
SIAS-6,2001,0
SIAS-6,2002,0
SIAS-6,2003,0
SIAS-6,2004,0
SIAS-6,2005,0
SIAS-6,2006,0
SIAS-6,2007,0
SIAS-6,2008,1
SIAS-6,2009,0
SIAS-6,2010,0
SIAS-6,2011,1
SIAS-6,2012,1
SIAS-6,2013,0
SIAS-6,2014,1
SIAS-6,2015,0
SIAS-6,2016,1
SIAS-6,2017,1
SIAS-6,2018,3
SIAS-6,2019,3
SIAS-6,2020,3
SIAS-6,2021,3
SIAS-6,2022,1
SIAS-6,2023,2
SIAS-6,2024,1
SIAS-6,2025,4
SPS-6,2000,0
SPS-6,2001,0
SPS-6,2002,1
SPS-6,2003,0
SPS-6,2004,0
SPS-6,2005,0
SPS-6,2006,0
SPS-6,2007,1
SPS-6,2008,0
SPS-6,2009,1
SPS-6,2010,1
SPS-6,2011,2
SPS-6,2012,3
SPS-6,2013,5
SPS-6,2014,5
SPS-6,2015,2
SPS-6,2016,2
SPS-6,2017,3
SPS-6,2018,3
SPS-6,2019,5
SPS-6,2020,3
SPS-6,2021,5
SPS-6,2022,8
SPS-6,2023,9
SPS-6,2024,10
SPS-6,2025,11
ISEL-12,2000,0
ISEL-12,2001,0
ISEL-12,2002,0
ISEL-12,2003,0
ISEL-12,2004,0
ISEL-12,2005,0
ISEL-12,2006,0
ISEL-12,2007,0
ISEL-12,2008,0
ISEL-12,2009,2
ISEL-12,2010,1
ISEL-12,2011,1
ISEL-12,2012,0
ISEL-12,2013,2
ISEL-12,2014,6
ISEL-12,2015,6
ISEL-12,2016,0
ISEL-12,2017,2
ISEL-12,2018,1
ISEL-12,2019,0
ISEL-12,2020,4
ISEL-12,2021,8
ISEL-12,2022,3
ISEL-12,2023,8
ISEL-12,2024,2
ISEL-12,2025,2
DASS-12,2000,0
DASS-12,2001,0
DASS-12,2002,0
DASS-12,2003,0
DASS-12,2004,0
DASS-12,2005,0
DASS-12,2006,0
DASS-12,2007,0
DASS-12,2008,0
DASS-12,2009,0
DASS-12,2010,0
DASS-12,2011,0
DASS-12,2012,0
DASS-12,2013,0
DASS-12,2014,1
DASS-12,2015,0
DASS-12,2016,0
DASS-12,2017,1
DASS-12,2018,0
DASS-12,2019,0
DASS-12,2020,0
DASS-12,2021,2
DASS-12,2022,4
DASS-12,2023,0
DASS-12,2024,1
DASS-12,2025,7
AUDIT,2000,33
AUDIT,2001,24
AUDIT,2002,24
AUDIT,2003,36
AUDIT,2004,27
AUDIT,2005,42
AUDIT,2006,41
AUDIT,2007,61
AUDIT,2008,55
AUDIT,2009,61
AUDIT,2010,72
AUDIT,2011,100
AUDIT,2012,128
AUDIT,2013,124
AUDIT,2014,142
AUDIT,2015,153
AUDIT,2016,158
AUDIT,2017,169
AUDIT,2018,188
AUDIT,2019,191
AUDIT,2020,206
AUDIT,2021,228
AUDIT,2022,212
AUDIT,2023,174
AUDIT,2024,196
AUDIT,2025,177
SCARED,2000,4
SCARED,2001,2
SCARED,2002,6
SCARED,2003,1
SCARED,2004,2
SCARED,2005,2
SCARED,2006,1
SCARED,2007,4
SCARED,2008,5
SCARED,2009,7
SCARED,2010,10
SCARED,2011,15
SCARED,2012,14
SCARED,2013,32
SCARED,2014,17
SCARED,2015,7
SCARED,2016,16
SCARED,2017,21
SCARED,2018,23
SCARED,2019,12
SCARED,2020,29
SCARED,2021,24
SCARED,2022,26
SCARED,2023,25
SCARED,2024,27
SCARED,2025,36
BARS,2000,0
BARS,2001,2
BARS,2002,3
BARS,2003,5
BARS,2004,1
BARS,2005,4
BARS,2006,10
BARS,2007,7
BARS,2008,7
BARS,2009,9
BARS,2010,3
BARS,2011,9
BARS,2012,4
BARS,2013,8
BARS,2014,10
BARS,2015,12
BARS,2016,4
BARS,2017,1
BARS,2018,7
BARS,2019,6
BARS,2020,8
BARS,2021,5
BARS,2022,4
BARS,2023,2
BARS,2024,4
BARS,2025,5
MAST,2000,4
MAST,2001,3
MAST,2002,2
MAST,2003,1
MAST,2004,7
MAST,2005,2
MAST,2006,8
MAST,2007,3
MAST,2008,7
MAST,2009,3
MAST,2010,4
MAST,2011,5
MAST,2012,3
MAST,2013,1
MAST,2014,2
MAST,2015,1
MAST,2016,3
MAST,2017,3
MAST,2018,1
MAST,2019,2
MAST,2020,0
MAST,2021,0
MAST,2022,2
MAST,2023,0
MAST,2024,2
MAST,2025,0
BDI-II,2000,6
BDI-II,2001,21
BDI-II,2002,10
BDI-II,2003,24
BDI-II,2004,33
BDI-II,2005,50
BDI-II,2006,55
BDI-II,2007,85
BDI-II,2008,100
BDI-II,2009,103
BDI-II,2010,142
BDI-II,2011,165
BDI-II,2012,235
BDI-II,2013,264
BDI-II,2014,276
BDI-II,2015,304
BDI-II,2016,332
BDI-II,2017,314
BDI-II,2018,388
BDI-II,2019,384
BDI-II,2020,439
BDI-II,2021,469
BDI-II,2022,456
BDI-II,2023,409
BDI-II,2024,391
BDI-II,2025,477
BAI,2000,35
BAI,2001,45
BAI,2002,39
BAI,2003,39
BAI,2004,59
BAI,2005,60
BAI,2006,87
BAI,2007,93
BAI,2008,107
BAI,2009,123
BAI,2010,158
BAI,2011,170
BAI,2012,184
BAI,2013,248
BAI,2014,264
BAI,2015,274
BAI,2016,311
BAI,2017,326
BAI,2018,381
BAI,2019,412
BAI,2020,463
BAI,2021,479
BAI,2022,569
BAI,2023,526
BAI,2024,541
BAI,2025,664
HAM-A,2000,18
HAM-A,2001,22
HAM-A,2002,33
HAM-A,2003,39
HAM-A,2004,34
HAM-A,2005,54
HAM-A,2006,69
HAM-A,2007,50
HAM-A,2008,63
HAM-A,2009,60
HAM-A,2010,78
HAM-A,2011,70
HAM-A,2012,101
HAM-A,2013,115
HAM-A,2014,103
HAM-A,2015,85
HAM-A,2016,110
HAM-A,2017,113
HAM-A,2018,130
HAM-A,2019,142
HAM-A,2020,163
HAM-A,2021,187
HAM-A,2022,205
HAM-A,2023,194
HAM-A,2024,244
HAM-A,2025,316
STAI,2000,106
STAI,2001,116
STAI,2002,109
STAI,2003,128
STAI,2004,157
STAI,2005,183
STAI,2006,201
STAI,2007,181
STAI,2008,239
STAI,2009,256
STAI,2010,271
STAI,2011,313
STAI,2012,336
STAI,2013,402
STAI,2014,394
STAI,2015,428
STAI,2016,438
STAI,2017,477
STAI,2018,472
STAI,2019,507
STAI,2020,645
STAI,2021,759
STAI,2022,718
STAI,2023,643
STAI,2024,656
STAI,2025,800
PSQI,2000,12
PSQI,2001,17
PSQI,2002,26
PSQI,2003,27
PSQI,2004,48
PSQI,2005,64
PSQI,2006,64
PSQI,2007,81
PSQI,2008,112
PSQI,2009,133
PSQI,2010,173
PSQI,2011,227
PSQI,2012,283
PSQI,2013,371
PSQI,2014,423
PSQI,2015,495
PSQI,2016,538
PSQI,2017,595
PSQI,2018,655
PSQI,2019,777
PSQI,2020,1129
PSQI,2021,1413
PSQI,2022,1582
PSQI,2023,1480
PSQI,2024,1742
PSQI,2025,2388
CORE-OM,2000,0
CORE-OM,2001,1
CORE-OM,2002,1
CORE-OM,2003,0
CORE-OM,2004,1
CORE-OM,2005,2
CORE-OM,2006,5
CORE-OM,2007,7
CORE-OM,2008,6
CORE-OM,2009,5
CORE-OM,2010,6
CORE-OM,2011,10
CORE-OM,2012,9
CORE-OM,2013,13
CORE-OM,2014,12
CORE-OM,2015,12
CORE-OM,2016,16
CORE-OM,2017,9
CORE-OM,2018,17
CORE-OM,2019,10
CORE-OM,2020,13
CORE-OM,2021,18
CORE-OM,2022,13
CORE-OM,2023,16
CORE-OM,2024,14
CORE-OM,2025,16
Y-BOCS,2000,30
Y-BOCS,2001,48
Y-BOCS,2002,46
Y-BOCS,2003,50
Y-BOCS,2004,48
Y-BOCS,2005,82
Y-BOCS,2006,89
Y-BOCS,2007,81
Y-BOCS,2008,98
Y-BOCS,2009,95
Y-BOCS,2010,108
Y-BOCS,2011,112
Y-BOCS,2012,105
Y-BOCS,2013,127
Y-BOCS,2014,119
Y-BOCS,2015,137
Y-BOCS,2016,152
Y-BOCS,2017,104
Y-BOCS,2018,128
Y-BOCS,2019,159
Y-BOCS,2020,159
Y-BOCS,2021,154
Y-BOCS,2022,178
Y-BOCS,2023,141
Y-BOCS,2024,150
Y-BOCS,2025,175
EPDS,2000,25
EPDS,2001,28
EPDS,2002,30
EPDS,2003,49
EPDS,2004,47
EPDS,2005,59
EPDS,2006,95
EPDS,2007,96
EPDS,2008,117
EPDS,2009,119
EPDS,2010,142
EPDS,2011,168
EPDS,2012,168
EPDS,2013,179
EPDS,2014,215
EPDS,2015,241
EPDS,2016,273
EPDS,2017,263
EPDS,2018,307
EPDS,2019,333
EPDS,2020,464
EPDS,2021,529
EPDS,2022,592
EPDS,2023,513
EPDS,2024,538
EPDS,2025,647
C-SSRS,2000,0
C-SSRS,2001,0
C-SSRS,2002,0
C-SSRS,2003,0
C-SSRS,2004,0
C-SSRS,2005,0
C-SSRS,2006,0
C-SSRS,2007,0
C-SSRS,2008,0
C-SSRS,2009,1
C-SSRS,2010,1
C-SSRS,2011,1
C-SSRS,2012,3
C-SSRS,2013,10
C-SSRS,2014,24
C-SSRS,2015,28
C-SSRS,2016,27
C-SSRS,2017,39
C-SSRS,2018,53
C-SSRS,2019,55
C-SSRS,2020,57
C-SSRS,2021,67
C-SSRS,2022,74
C-SSRS,2023,76
C-SSRS,2024,83
C-SSRS,2025,125
YMRS,2000,16
YMRS,2001,20
YMRS,2002,31
YMRS,2003,38
YMRS,2004,40
YMRS,2005,52
YMRS,2006,52
YMRS,2007,84
YMRS,2008,76
YMRS,2009,70
YMRS,2010,85
YMRS,2011,92
YMRS,2012,99
YMRS,2013,98
YMRS,2014,104
YMRS,2015,98
YMRS,2016,88
YMRS,2017,91
YMRS,2018,90
YMRS,2019,65
YMRS,2020,103
YMRS,2021,102
YMRS,2022,103
YMRS,2023,82
YMRS,2024,106
YMRS,2025,128
PSS,2000,141
PSS,2001,155
PSS,2002,135
PSS,2003,158
PSS,2004,221
PSS,2005,258
PSS,2006,268
PSS,2007,316
PSS,2008,370
PSS,2009,375
PSS,2010,454
PSS,2011,532
PSS,2012,617
PSS,2013,752
PSS,2014,825
PSS,2015,943
PSS,2016,995
PSS,2017,1055
PSS,2018,1205
PSS,2019,1357
PSS,2020,1727
PSS,2021,2109
PSS,2022,2229
PSS,2023,2150
PSS,2024,2241
PSS,2025,2564
QIDS-SR,2000,0
QIDS-SR,2001,0
QIDS-SR,2002,0
QIDS-SR,2003,2
QIDS-SR,2004,1
QIDS-SR,2005,0
QIDS-SR,2006,7
QIDS-SR,2007,3
QIDS-SR,2008,3
QIDS-SR,2009,7
QIDS-SR,2010,7
QIDS-SR,2011,8
QIDS-SR,2012,14
QIDS-SR,2013,12
QIDS-SR,2014,14
QIDS-SR,2015,10
QIDS-SR,2016,13
QIDS-SR,2017,20
QIDS-SR,2018,21
QIDS-SR,2019,16
QIDS-SR,2020,26
QIDS-SR,2021,40
QIDS-SR,2022,24
QIDS-SR,2023,24
QIDS-SR,2024,29
QIDS-SR,2025,25
PANAS,2000,5
PANAS,2001,9
PANAS,2002,8
PANAS,2003,13
PANAS,2004,9
PANAS,2005,15
PANAS,2006,18
PANAS,2007,28
PANAS,2008,24
PANAS,2009,27
PANAS,2010,32
PANAS,2011,49
PANAS,2012,53
PANAS,2013,68
PANAS,2014,62
PANAS,2015,67
PANAS,2016,70
PANAS,2017,86
PANAS,2018,102
PANAS,2019,122
PANAS,2020,140
PANAS,2021,192
PANAS,2022,160
PANAS,2023,156
PANAS,2024,137
PANAS,2025,172
IES-R,2000,3
IES-R,2001,4
IES-R,2002,5
IES-R,2003,8
IES-R,2004,12
IES-R,2005,16
IES-R,2006,16
IES-R,2007,23
IES-R,2008,34
IES-R,2009,35
IES-R,2010,43
IES-R,2011,61
IES-R,2012,53
IES-R,2013,60
IES-R,2014,66
IES-R,2015,78
IES-R,2016,73
IES-R,2017,74
IES-R,2018,92
IES-R,2019,80
IES-R,2020,188
IES-R,2021,310
IES-R,2022,270
IES-R,2023,194
IES-R,2024,143
IES-R,2025,138
WHOQOL-BREF,2000,4
WHOQOL-BREF,2001,4
WHOQOL-BREF,2002,9
WHOQOL-BREF,2003,11
WHOQOL-BREF,2004,31
WHOQOL-BREF,2005,48
WHOQOL-BREF,2006,71
WHOQOL-BREF,2007,87
WHOQOL-BREF,2008,90
WHOQOL-BREF,2009,103
WHOQOL-BREF,2010,119
WHOQOL-BREF,2011,158
WHOQOL-BREF,2012,167
WHOQOL-BREF,2013,213
WHOQOL-BREF,2014,222
WHOQOL-BREF,2015,222
WHOQOL-BREF,2016,211
WHOQOL-BREF,2017,226
WHOQOL-BREF,2018,265
WHOQOL-BREF,2019,291
WHOQOL-BREF,2020,346
WHOQOL-BREF,2021,404
WHOQOL-BREF,2022,375
WHOQOL-BREF,2023,370
WHOQOL-BREF,2024,374
WHOQOL-BREF,2025,535
PROMIS,2000,0
PROMIS,2001,2
PROMIS,2002,0
PROMIS,2003,1
PROMIS,2004,1
PROMIS,2005,6
PROMIS,2006,4
PROMIS,2007,15
PROMIS,2008,16
PROMIS,2009,23
PROMIS,2010,30
PROMIS,2011,60
PROMIS,2012,43
PROMIS,2013,99
PROMIS,2014,140
