scale,dimension,sim_hedonic,sim_eudaimonic,delta
ACE,Central tension,0.19677900494400347,0.15993178644953354,0.036847218494469924
MBI,Foundational claim,0.1683021844291479,0.1452400339584612,0.023062150470686715
MBI,Evaluative criterion,0.29481195013015316,0.2820919785034558,0.012719971626697357
MBI,Time horizon,0.29990577221237547,0.2351904412940865,0.06471533091828896
MBI,Adversity,0.18538538555491413,0.12587255875994552,0.05951282679496861
MBI,Measurement proxies,0.38667978745466236,0.38832831267928114,-0.0016485252246187798
MBI,Central tension,0.21415994574443187,0.22526283086618648,-0.011102885121754613
WHOQOL-100,Foundational claim,0.3340670536935375,0.33962130318559003,-0.005554249492052521
WHOQOL-100,Evaluative criterion,0.48048815171597425,0.45660624097807445,0.023881910737899803
WHOQOL-100,Time horizon,0.4567235705806505,0.39666801509402183,0.060055555486628664
WHOQOL-100,Adversity,0.2630777412408368,0.24951399006888397,0.013563751171952854
WHOQOL-100,Measurement proxies,0.508496195399164,0.5635236935089398,-0.05502749810977581
WHOQOL-100,Central tension,0.3323724790471221,0.28200627892608,0.05036620012104209
MHC-SF,Foundational claim,0.4166064365984503,0.39316566822982946,0.023440768368620857
MHC-SF,Evaluative criterion,0.5822348755989694,0.5253641753197473,0.05687070027922203
MHC-SF,Time horizon,0.513823345813788,0.4747518539950859,0.039071491818702064
MHC-SF,Adversity,0.3385133792571803,0.31775556556849827,0.020757813688682014
MHC-SF,Measurement proxies,0.6212318564133068,0.6295249337725987,-0.008293077359291856
MHC-SF,Central tension,0.365233969996001,0.36579556123454027,-0.0005615912385392718
SF-12,Foundational claim,0.2508233964995804,0.23414867844930953,0.016674718050270876
SF-12,Evaluative criterion,0.38202689372826737,0.34213115907633984,0.03989573465192753
SF-12,Time horizon,0.3815790718784945,0.2878313348704955,0.09374773700799899
SF-12,Adversity,0.2329908740488451,0.206127880098818,0.026862993950027114
SF-12,Measurement proxies,0.48633444971385953,0.461068810653513,0.025265639060346512
SF-12,Central tension,0.266769237557853,0.21442558097441955,0.05234365658343343
SAS-SR,Foundational claim,0.15989664648001578,0.19024729787664463,-0.030350651396628847
SAS-SR,Evaluative criterion,0.34388546401578557,0.34179761941551967,0.002087844600265898
SAS-SR,Time horizon,0.348490666854826,0.28660122176253444,0.06188944509229155
SAS-SR,Adversity,0.16472355772329372,0.1687747501122795,-0.004051192388985769
SAS-SR,Measurement proxies,0.38879685185574053,0.4670135806762241,-0.07821672882048358
SAS-SR,Central tension,0.20807927739394672,0.19106420731515872,0.017015070078787997
