scale,dimension,sim_hedonic,sim_eudaimonic,delta
PGI,Measurement proxies,0.42237287380632316,0.594788637066605,-0.17241576326028185
PGI,Central tension,0.26335468611104607,0.371132483131835,-0.10777779702078893
RYFF-PWB,Foundational claim,0.4040485150723049,0.4539651734738456,-0.04991665840154069
RYFF-PWB,Evaluative criterion,0.52859484263771,0.539533109989641,-0.010938267351931041
RYFF-PWB,Time horizon,0.48713178504042576,0.5049263898055645,-0.017794604765138722
RYFF-PWB,Adversity,0.316618422238673,0.37043338334630826,-0.053814961107635284
RYFF-PWB,Measurement proxies,0.5480210475631079,0.7015197495271873,-0.15349870196407944
RYFF-PWB,Central tension,0.3803424805357467,0.49357035381386627,-0.11322787327811956
BPNS,Foundational claim,0.2544277681175622,0.26007295886975457,-0.005645190752192386
BPNS,Evaluative criterion,0.4119980612977536,0.41143021470717955,0.0005678465905740726
BPNS,Time horizon,0.4056704113570099,0.3461582177155713,0.05951219364143856
BPNS,Adversity,0.23718115836169706,0.21107362383146677,0.026107534530230292
BPNS,Measurement proxies,0.4204945484938858,0.536991806751773,-0.11649725825788726
BPNS,Central tension,0.34648847922019,0.30258424942354656,0.043904229796643435
MLQ,Foundational claim,0.33126960043587506,0.28663668201866677,0.04463291841720829
MLQ,Evaluative criterion,0.3825446549766056,0.36593903217073076,0.016605622805874853
MLQ,Time horizon,0.4035494444537948,0.3353712185137021,0.06817822594009271
MLQ,Adversity,0.24163741390133264,0.21698444366231517,0.02465297023901747
MLQ,Measurement proxies,0.45978523099568713,0.579344431542274,-0.11955920054658686
MLQ,Central tension,0.3587847011492692,0.33036978473686407,0.028414916412405122
FS,Foundational claim,0.36186802292736964,0.36043719873600166,0.0014308241913679742
FS,Evaluative criterion,0.5185237317907911,0.5058525877272223,0.01267114406356884
FS,Time horizon,0.470885029238453,0.46339107575081984,0.007493953487633154
FS,Adversity,0.3017232081791167,0.34951623015387456,-0.04779302197475788
FS,Measurement proxies,0.5229201186619771,0.6351453840780202,-0.11222526541604316
FS,Central tension,0.3813572794259388,0.34899240150866984,0.03236487791726894
PIL,Foundational claim,0.3656407686061206,0.33755873563474037,0.028082032971380233
PIL,Evaluative criterion,0.4066329991694768,0.40788560269108043,-0.0012526035216036124
PIL,Time horizon,0.41421981004679953,0.36746100594495734,0.04675880410184219
PIL,Adversity,0.24899623653732306,0.24605290453922135,0.002943331998101706
PIL,Measurement proxies,0.47865220154826593,0.6383945497444644,-0.15974234819619848
PIL,Central tension,0.3911778937852568,0.34545448423101865,0.04572340955423815
COMPAS-W,Foundational claim,0.3658739516020889,0.3330517414857328,0.03282221011635611
COMPAS-W,Evaluative criterion,0.575278915401658,0.5008565635404364,0.07442235186122159
COMPAS-W,Time horizon,0.5404568961732228,0.4529408613109738,0.08751603486224901
COMPAS-W,Adversity,0.322472068641261,0.29181891593375386,0.030653152707507125
COMPAS-W,Measurement proxies,0.6017137033311957,0.6248373209228691,-0.023123617591673473
COMPAS-W,Central tension,0.3864504557685873,0.33564514584765237,0.050805309920934905
SHS,Foundational claim,0.3361933579617421,0.2519187080129872,0.08427464994875489
SHS,Evaluative criterion,0.4662732993092171,0.3515126121631136,0.11476068714610355
SHS,Time horizon,0.4667369235461146,0.33354025647257535,0.13319666707353928
SHS,Adversity,0.24215222463461072,0.1729542662561323,0.06919795837847842
SHS,Measurement proxies,0.5433541457440362,0.43937998853275784,0.10397415721127834
SHS,Central tension,0.3161645592145662,0.2337352656506324,0.0824292935639338
PWI,Foundational claim,0.4248692895235028,0.37355874550991297,0.05131054401358981
PWI,Evaluative criterion,0.6235944608171058,0.5318212268562265,0.09177323396087933
PWI,Time horizon,0.5981722455805524,0.4602688097937939,0.13790343578675845
PWI,Adversity,0.30394469620470654,0.2629387685694594,0.04100592763524713
PWI,Measurement proxies,0.5320032978306648,0.5580113531141273,-0.026008055283462506
PWI,Central tension,0.37531492004139366,0.300075961067093,0.07523895897430066
PGIS-II,Foundational claim,0.20131556213044566,0.23789110552849058,-0.03657554339804492
PGIS-II,Evaluative criterion,0.29119659276423415,0.363414922418116,-0.07221832965388186
PGIS-II,Time horizon,0.3277123667260471,0.3348549709275308,-0.0071426042014837154
PGIS-II,Adversity,0.1954707332463772,0.28109795295452344,-0.08562721970814624
PGIS-II,Measurement proxies,0.4097943738622727,0.5737429239540488,-0.1639485500917761
PGIS-II,Central tension,0.24369467490724483,0.3443851597886418,-0.10069048488139698
LOT-R,Foundational claim,0.27224825363557326,0.22891254151450302,0.043335712121070236
LOT-R,Evaluative criterion,0.3576165357863128,0.30142869531371885,0.05618784047259395
LOT-R,Time horizon,0.3356931742062642,0.2773508494456177,0.05834232476064649
LOT-R,Adversity,0.28339919538546554,0.22786829337795167,0.05553090200751387
LOT-R,Measurement proxies,0.4331261413734341,0.3875509664903134,0.045575174883120684
LOT-R,Central tension,0.25091806973168174,0.21905396644081687,0.031864103290864865
SWB,Foundational claim,0.4296155799012872,0.3295685136428028,0.10004706625848436
SWB,Evaluative criterion,0.6088886611382919,0.46050449538425164,0.14838416575404023
SWB,Time horizon,0.577323886491481,0.48757156743610564,0.0897523190553754
SWB,Adversity,0.32946172932140017,0.25864784811072616,0.070813881210674
SWB,Measurement proxies,0.6524943833009067,0.5406458125816644,0.11184857071924226
SWB,Central tension,0.40299405016782563,0.31003251117856423,0.0929615389892614
SOC-13,Foundational claim,0.30760788513656356,0.29269969917230076,0.014908185964262799
SOC-13,Evaluative criterion,0.40532444851539595,0.39897647052810525,0.006347977987290698
SOC-13,Time horizon,0.38250800201195634,0.33905250638637585,0.04345549562558049
SOC-13,Adversity,0.3009832011612754,0.2789348101202842,0.02204839104099121
SOC-13,Measurement proxies,0.4754494103464213,0.5846601104432564,-0.10921070009683509
SOC-13,Central tension,0.33394046998862303,0.32687208605075835,0.007068383937864686
FMI,Foundational claim,0.15763637091877658,0.13684041526024826,0.02079595565852832
FMI,Evaluative criterion,0.2961083010101462,0.28459202165128294,0.011516279358863235
FMI,Time horizon,0.3666390178889751,0.26751513334644716,0.09912388454252796
FMI,Adversity,0.19216893433682136,0.180539219425066,0.011629714911755351
FMI,Measurement proxies,0.43317036240951745,0.4471979586231596,-0.014027596213642135
FMI,Central tension,0.20586692467039058,0.23332097579547073,-0.027454051125080148
MAAS,Foundational claim,0.1261870331009285,0.12503049116845322,0.0011565419324752746
MAAS,Evaluative criterion,0.2754220448858107,0.25074128476477275,0.024680760121037926
MAAS,Time horizon,0.3545789980816636,0.2580370522198402,0.09654194586182341
MAAS,Adversity,0.1669681547310231,0.15640118881567733,0.010566965915345783
MAAS,Measurement proxies,0.4120774990711066,0.4143048973546506,-0.002227398283544013
MAAS,Central tension,0.18286926643543766,0.23021368204901216,-0.0473444156135745
RSE,Foundational claim,0.22646015913520734,0.2201417224313349,0.006318436703872443
RSE,Evaluative criterion,0.3982033134968359,0.3504572312954136,0.04774608220142229
RSE,Time horizon,0.39466438706878126,0.26466912344078086,0.1299952636280004
RSE,Adversity,0.17958862044481472,0.14683379856747214,0.03275482187734258
RSE,Measurement proxies,0.4474187542132917,0.439754040042027,0.007664714171264686
RSE,Central tension,0.24232472555782092,0.209101055597828,0.03322366995999293
PSC-17,Foundational claim,0.13888533406676418,0.07461749259650596,0.06426784147025821
PSC-17,Evaluative criterion,0.3142968141560213,0.23348522780231384,0.08081158635370744
PSC-17,Time horizon,0.30974324735245773,0.1612174589565225,0.14852578839593522
PSC-17,Adversity,0.2536145519377193,0.12624471515519398,0.12736983678252534
PSC-17,Measurement proxies,0.43209272226887696,0.3574344000465359,0.07465832222234103
PSC-17,Central tension,0.22354582355024355,0.15647019836331266,0.06707562518693089
SRS-2,Foundational claim,0.08853093763348485,0.06846392276413305,0.020067014869351807
SRS-2,Evaluative criterion,0.23359608781570174,0.18538484155555535,0.04821124626014639
SRS-2,Time horizon,0.27631351857879904,0.15416733094905188,0.12214618762974716
SRS-2,Adversity,0.15614637229636075,0.08182241406656043,0.07432395822980031
SRS-2,Measurement proxies,0.3520268955528896,0.3445161581256089,0.0075107374272807
SRS-2,Central tension,0.19230885736420456,0.11835870219372768,0.07395015517047687
GAD-2,Foundational claim,0.14353485301050983,0.07975506836100721,0.06377978464950262
GAD-2,Evaluative criterion,0.32707374327938243,0.23106570520083913,0.0960080380785433
GAD-2,Time horizon,0.36019368472270663,0.17696941461717897,0.18322427010552766
GAD-2,Adversity,0.23131517534854185,0.10770045039367693,0.12361472495486492
GAD-2,Measurement proxies,0.3694738010567187,0.2622343729372072,0.10723942811951148
GAD-2,Central tension,0.19732643250896875,0.15296591891496158,0.04436051359400717
PHQ-2,Foundational claim,0.2404427116969382,0.1383177620007554,0.1021249496961828
PHQ-2,Evaluative criterion,0.37161384425518085,0.25112934737285775,0.1204844968823231
PHQ-2,Time horizon,0.3896486701974491,0.239513111350671,0.1501355588467781
PHQ-2,Adversity,0.2612139119857557,0.14556072852918256,0.11565318345657316
PHQ-2,Measurement proxies,0.460287094079155,0.3473075342531299,0.11297955982602514
PHQ-2,Central tension,0.3034657565365453,0.22147968863925227,0.08198606789729301
QOLS,Foundational claim,0.4030900942759219,0.38031021512465535,0.022779879151266558
QOLS,Evaluative criterion,0.5275830338460571,0.4859324560146625,0.041650577831394586
QOLS,Time horizon,0.5102309192985858,0.42124978706289173,0.08898113223569404
QOLS,Adversity,0.2922564503653259,0.25623021689383596,0.03602623347148992
QOLS,Measurement proxies,0.532095097879222,0.587007266400999,-0.05491216852177694
QOLS,Central tension,0.4029891174080207,0.3076112259580941,0.09537789144992659
VR-12,Foundational claim,0.2091668333627983,0.21030133147421237,-0.001134498111414084
VR-12,Evaluative criterion,0.3447030115505507,0.33364287518099767,0.011060136369553053
VR-12,Time horizon,0.3423335398342462,0.24852362492396318,0.09380991491028301
VR-12,Adversity,0.21520785021007793,0.19649191102934604,0.01871593918073189
VR-12,Measurement proxies,0.4323646203722422,0.4169793879048692,0.015385232467373
VR-12,Central tension,0.22649505732294928,0.19926634382938724,0.02722871349356204
Connor-Davidson-10,Foundational claim,0.2127610747416715,0.20922272158036692,0.003538353161304575
Connor-Davidson-10,Evaluative criterion,0.37056204232465784,0.33269454454951786,0.03786749777513998
Connor-Davidson-10,Time horizon,0.3251429193229125,0.3096167983341295,0.015526120988783032
Connor-Davidson-10,Adversity,0.29341218826147164,0.3643895621259181,-0.07097737386444647
Connor-Davidson-10,Measurement proxies,0.433068933128416,0.45404439031550503,-0.02097545718708904
Connor-Davidson-10,Central tension,0.24560137034900043,0.27346511978972865,-0.027863749440728225
FFMQ,Foundational claim,0.15072299255726807,0.14712133111826098,0.0036016614390070867
FFMQ,Evaluative criterion,0.291697761999104,0.2807026348949415,0.010995127104162505
FFMQ,Time horizon,0.3398769072885096,0.2832682474408468,0.056608659847662834
FFMQ,Adversity,0.18434831036365085,0.17546702403335424,0.008881286330296612
FFMQ,Measurement proxies,0.4308137816611406,0.4288168898630982,0.0019968917980424106
FFMQ,Central tension,0.19350553942486926,0.23499291303120884,-0.041487373606339584
SCS,Foundational claim,0.1773851992396076,0.15644519868996665,0.020940000549640958
SCS,Evaluative criterion,0.31476281756099755,0.28558966204090463,0.02917315552009292
SCS,Time horizon,0.31073142262386566,0.25212320739267213,0.05860821523119353
SCS,Adversity,0.23470911235306757,0.2160948422735428,0.018614270079524764
SCS,Measurement proxies,0.41523935322982086,0.42090318395455095,-0.00566383072473009
SCS,Central tension,0.22899615535515683,0.23404872960663026,-0.0050525742514734295
PERMA-P,Foundational claim,0.42456161638870915,0.37858775854495363,0.04597385784375552
PERMA-P,Evaluative criterion,0.5732872325498909,0.5248156520386983,0.0484715805111926
PERMA-P,Time horizon,0.5351970720148067,0.5026272211717885,0.03256985084301822
PERMA-P,Adversity,0.3340941245209158,0.34227884611208625,-0.008184721591170452
PERMA-P,Measurement proxies,0.6130707598759135,0.6269478667434607,-0.013877106867547173
PERMA-P,Central tension,0.3986416385912428,0.37407003283454987,0.024571605756692927
SBI,Foundational claim,0.2243736561372709,0.21721377214753157,0.007159883989739324
SBI,Evaluative criterion,0.32786415394892066,0.30794977084712516,0.019914383101795496
SBI,Time horizon,0.3118336204777692,0.3344830383639301,-0.022649417886160927
SBI,Adversity,0.24121404663523904,0.3488630800668716,-0.10764903343163257
SBI,Measurement proxies,0.42823628324843155,0.5094658573058714,-0.0812295740574398
SBI,Central tension,0.24871955568524773,0.26356535671310755,-0.014845801027859817
EPOCH,Foundational claim,0.3182814440586731,0.3248074903903472,-0.006526046331674085
EPOCH,Evaluative criterion,0.4446921983101806,0.4535023540735854,-0.008810155763404826
EPOCH,Time horizon,0.41888826537269686,0.4256541301996629,-0.0067658648269660615
EPOCH,Adversity,0.3047489205106666,0.3570651494261048,-0.05231622891543819
EPOCH,Measurement proxies,0.5477977368154899,0.6037316398005438,-0.05593390298505385
EPOCH,Central tension,0.3537921396537105,0.37218543041725793,-0.018393290763547454
CASP-19,Foundational claim,0.3975570827685809,0.3749321240602963,0.022624958708284626
CASP-19,Evaluative criterion,0.4813365581318443,0.45455617336953047,0.026780384762313814
CASP-19,Time horizon,0.46953813986389004,0.38128823576331894,0.0882499041005711
CASP-19,Adversity,0.31186683493282497,0.256562411503267,0.05530442342955799
CASP-19,Measurement proxies,0.48784983044144015,0.5803352759905256,-0.09248544554908544
CASP-19,Central tension,0.3995083338891048,0.33768902392208267,0.06181930996702212
SPF-IL,Foundational claim,0.37946177413904014,0.35051593069742704,0.028945843441613106
SPF-IL,Evaluative criterion,0.5120136228051707,0.4959783195690254,0.016035303236145326
SPF-IL,Time horizon,0.49760035817392456,0.3931033854335262,0.10449697274039838
SPF-IL,Adversity,0.3559324848879498,0.2557341373176112,0.10019834757033863
SPF-IL,Measurement proxies,0.5220732509460239,0.5889087804143757,-0.0668355294683518
SPF-IL,Central tension,0.4033838384012167,0.3633129060889406,0.0400709323122761
BSSI,Foundational claim,0.20349702694270067,0.1456230473954404,0.05787397954726026
BSSI,Evaluative criterion,0.2898690899309888,0.22150038948561956,0.06836870044536925
BSSI,Time horizon,0.35628591362472917,0.21567834277954634,0.14060757084518283
BSSI,Adversity,0.22369340089650613,0.12417415918690533,0.0995192417096008
BSSI,Measurement proxies,0.3744150205800102,0.3644288669366178,0.009986153643392393
BSSI,Central tension,0.21923216450006777,0.19631791685309463,0.02291424764697314
LSAS,Foundational claim,0.08220347144327345,0.0405529586038047,0.041650512839468745
LSAS,Evaluative criterion,0.2298680626215115,0.15966883716888025,0.07019922545263124
LSAS,Time horizon,0.2775587743221819,0.14153641195196998,0.13602236237021192
LSAS,Adversity,0.18544327060158694,0.08927902546037148,0.09616424514121547
LSAS,Measurement proxies,0.3459630017160449,0.29349173591836053,0.05247126579768435
LSAS,Central tension,0.15579041779548364,0.10826227603234684,0.0475281417631368
PDQ-4,Foundational claim,0.12348150795866719,0.04255168640721685,0.08092982155145034
PDQ-4,Evaluative criterion,0.23253804148016388,0.18255731783793328,0.04998072364223061
PDQ-4,Time horizon,0.24305261705013426,0.15505090968935797,0.08800170736077628
PDQ-4,Adversity,0.16361686395934605,0.06798000511430213,0.09563685884504391
PDQ-4,Measurement proxies,0.3536035523033829,0.35351668977516615,8.686252821676899e-05
PDQ-4,Central tension,0.18027783366441186,0.11823047694548539,0.06204735671892647
WHODAS-12,Foundational claim,0.2222902730322146,0.24606042242165294,-0.023770149389438333
WHODAS-12,Evaluative criterion,0.37348983529161506,0.35799885799088704,0.015490977300728015
WHODAS-12,Time horizon,0.3853660658820759,0.293534008351936,0.0918320575301399
WHODAS-12,Adversity,0.21840101025507608,0.19440239460491926,0.023998615650156818
WHODAS-12,Measurement proxies,0.43139945821534886,0.47511825746236813,-0.04371879924701927
WHODAS-12,Central tension,0.23116381558207622,0.23917694680767887,-0.008013131225602654
DTS,Foundational claim,0.07454988857330636,0.012060542753289938,0.06248934582001642
DTS,Evaluative criterion,0.23323033559542317,0.13754631208953538,0.09568402350588778
DTS,Time horizon,0.2525118883254154,0.13393711732737357,0.11857477099804181
DTS,Adversity,0.19988286245742648,0.09257221956646922,0.10731064289095726
DTS,Measurement proxies,0.349671513197938,0.2814537578979661,0.06821775529997187
DTS,Central tension,0.1421555006578018,0.09901636302303529,0.04313913763476651
ZSDS,Foundational claim,0.19163180336996077,0.11728602515105768,0.07434577821890309
ZSDS,Evaluative criterion,0.3669679433902988,0.2519810062279193,0.11498693716237951
ZSDS,Time horizon,0.36493915765086427,0.22462020695830642,0.14031895069255784
ZSDS,Adversity,0.24497070728180215,0.12119024854818727,0.12378045873361487
ZSDS,Measurement proxies,0.5306671301855401,0.41121605516313553,0.1194510750224046
ZSDS,Central tension,0.26133587970733574,0.21273898126955926,0.04859689843777648
ZSAS,Foundational claim,0.1075041282418191,0.04580005059179004,0.061704077650029054
ZSAS,Evaluative criterion,0.29738276299605515,0.198206483210829,0.09917627978522614
ZSAS,Time horizon,0.32107866121389084,0.13384339154288827,0.18723526967100257
ZSAS,Adversity,0.23072578832639667,0.09495988350108753,0.13576590482530915
ZSAS,Measurement proxies,0.45274066480096575,0.3244582030700247,0.12828246173094104
ZSAS,Central tension,0.21412635188332763,0.13195315081858783,0.0821732010647398
HDRS-21,Foundational claim,0.14141512518496246,0.08959518394998,0.05181994123498246
HDRS-21,Evaluative criterion,0.22962875062112897,0.19160990633951425,0.03801884428161473
HDRS-21,Time horizon,0.2408457792343247,0.1681690292594087,0.07267674997491602
HDRS-21,Adversity,0.19931101571902254,0.10942085278910552,0.08989016292991703
HDRS-21,Measurement proxies,0.3704646275906577,0.3001995151752833,0.07026511241537436
HDRS-21,Central tension,0.16508322593854374,0.17163144800585672,-0.006548222067312981
TAS-20,Foundational claim,0.16299767779597274,0.1282570698090857,0.03474060798688705
TAS-20,Evaluative criterion,0.2946844601975712,0.20964439255970224,0.08504006763786898
TAS-20,Time horizon,0.29332489526903804,0.2123571892534819,0.08096770601555614
TAS-20,Adversity,0.18573306177674576,0.1279796370164401,0.05775342476030565
TAS-20,Measurement proxies,0.42519782535170725,0.3375344643160971,0.08766336103561012
TAS-20,Central tension,0.22620472634636446,0.19600932309691244,0.030195403249452024
IRI,Foundational claim,0.14622877028121484,0.10949939862141977,0.03672937165979506
IRI,Evaluative criterion,0.27173202612867864,0.23319791062094575,0.03853411550773289
IRI,Time horizon,0.2702594311024469,0.17722586251138284,0.09303356859106404
IRI,Adversity,0.18057524915754464,0.11877362316379225,0.061801625993752385
IRI,Measurement proxies,0.410721202583729,0.3611843867142156,0.04953681586951342
IRI,Central tension,0.17625976069191818,0.2129406745068858,-0.03668091381496763
YBOCS-II,Foundational claim,0.09587736693886084,0.0468638479948299,0.04901351894403094
YBOCS-II,Evaluative criterion,0.22420818633404527,0.1806611323329812,0.04354705400106407
YBOCS-II,Time horizon,0.29128965247942984,0.15817697623185656,0.13311267624757328
YBOCS-II,Adversity,0.17181267018337565,0.09991948793320604,0.07189318225016961
YBOCS-II,Measurement proxies,0.35641795936900666,0.3241542202169134,0.03226373915209324
YBOCS-II,Central tension,0.16921662454310982,0.13272359319649585,0.03649303134661397
PSAS,Foundational claim,0.0864609210872389,0.03727123358673978,0.049189687500499124
PSAS,Evaluative criterion,0.2536427840294425,0.16965922781918197,0.08398355621026055
PSAS,Time horizon,0.2859785164341083,0.13163102468124344,0.15434749175286488
PSAS,Adversity,0.1857621124852411,0.05897504107018747,0.12678707141505363
PSAS,Measurement proxies,0.3529009053011366,0.2796481825068826,0.07325272279425399
PSAS,Central tension,0.1737806555197564,0.12652084888152204,0.04725980663823437
BASIS-24,Foundational claim,0.18373030781655608,0.13708475500548456,0.04664555281107152
BASIS-24,Evaluative criterion,0.385620973364718,0.3217640536641744,0.06385691970054364
BASIS-24,Time horizon,0.40487565909368217,0.2765461995092452,0.12832945958443698
BASIS-24,Adversity,0.2366956093049627,0.15704716520883677,0.07964844409612593
BASIS-24,Measurement proxies,0.5336970338619396,0.49086226749676154,0.04283476636517802
BASIS-24,Central tension,0.23260817971635728,0.17498205930625876,0.057626120410098514
SIAS,Foundational claim,0.08249297124788968,0.0443704377875187,0.03812253346037098
SIAS,Evaluative criterion,0.22934474419792428,0.16683460270381267,0.0625101414941116
SIAS,Time horizon,0.25611207201549324,0.12453283633286172,0.13157923568263152
SIAS,Adversity,0.15450337634348554,0.08435100561321085,0.0701523707302747
SIAS,Measurement proxies,0.31640844609514607,0.29448163896865887,0.021926807126487202
SIAS,Central tension,0.19380014227376063,0.1284535276467016,0.06534661462705904
SPS,Foundational claim,0.0871153321226723,0.05049050832201751,0.03662482380065479
SPS,Evaluative criterion,0.2706707224751609,0.21952013045763386,0.05115059201752703
SPS,Time horizon,0.28337420436040905,0.14394973957195767,0.13942446478845139
SPS,Adversity,0.19381553243109828,0.09269119112237223,0.10112434130872605
SPS,Measurement proxies,0.359966342316298,0.3156059686989682,0.04436037361732981
SPS,Central tension,0.16968800128893102,0.14840356182567283,0.021284439463258198
CSSQ,Foundational claim,0.22964282745430165,0.20571562109114694,0.023927206363154707
CSSQ,Evaluative criterion,0.3915811251053143,0.3556520941648149,0.035929030940499374
CSSQ,Time horizon,0.4331508110043958,0.23762471300507537,0.19552609799932041
CSSQ,Adversity,0.22430857867164478,0.17020658158429058,0.05410199708735419
CSSQ,Measurement proxies,0.4402473419014149,0.4321182709390917,0.008129070962323182
CSSQ,Central tension,0.26377652746677926,0.22467671799475353,0.03909980947202574
PSQ,Foundational claim,0.13007457618100027,0.10081393303972697,0.0292606431412733
PSQ,Evaluative criterion,0.3216244025890834,0.23871851929900678,0.08290588329007664
PSQ,Time horizon,0.3411677579708363,0.2005887140874869,0.1405790438833494
PSQ,Adversity,0.171972194565702,0.11781329209668434,0.05415890246901767
PSQ,Measurement proxies,0.3610968458426984,0.35715813136926355,0.003938714473434857
PSQ,Central tension,0.199578847955168,0.14470020539697392,0.05487864255819408
ASRS,Foundational claim,0.08842379663135347,0.06007391269901252,0.028349883932340947
ASRS,Evaluative criterion,0.19600738867156964,0.1499670234671312,0.04604036520443844
ASRS,Time horizon,0.26757930990705214,0.12709331597690954,0.1404859939301426
ASRS,Adversity,0.17322853746547273,0.07443227126496088,0.09879626620051185
ASRS,Measurement proxies,0.3256939527383187,0.287753420036462,0.03794053270185671
ASRS,Central tension,0.19274852567692236,0.15950844490591654,0.03324008077100582
BARS,Foundational claim,0.09346198690326091,0.05958152834153052,0.03388045856173039
BARS,Evaluative criterion,0.23664345409974463,0.1689946801087545,0.06764877399099012
BARS,Time horizon,0.27510089209955324,0.11752248981316438,0.15757840228638886
BARS,Adversity,0.17709822593116098,0.0568516998636297,0.12024652606753128
BARS,Measurement proxies,0.3649568081965986,0.2771308392091816,0.08782596898741701
BARS,Central tension,0.20881913623219228,0.10904562897173031,0.09977350726046197
SAS,Foundational claim,0.0905408253614004,0.0320964451451452,0.0584443802162552
SAS,Evaluative criterion,0.1752752483370441,0.1329462791171474,0.042328969219896706
SAS,Time horizon,0.18504647311557254,0.08266878363290386,0.10237768948266868
SAS,Adversity,0.1412712683198507,0.02989975188527705,0.11137151643457366
SAS,Measurement proxies,0.32021297370104085,0.23544075650432794,0.0847722171967129
SAS,Central tension,0.13414572466574004,0.07799470123147856,0.05615102343426148
SAPS,Foundational claim,0.11347907003114743,0.08415565820552795,0.029323411825619483
SAPS,Evaluative criterion,0.2570297262689867,0.19519467911383503,0.061835047155151646
SAPS,Time horizon,0.23933762185100294,0.17367241782741882,0.06566520402358411
SAPS,Adversity,0.18024268702066149,0.07371832517219756,0.10652436184846392
SAPS,Measurement proxies,0.3881445771306571,0.3029444225915211,0.08520015453913599
SAPS,Central tension,0.15095582823478026,0.08122980524443357,0.06972602299034669
CDRS-R,Foundational claim,0.11736860350526168,0.06086719065512414,0.056501412850137545
CDRS-R,Evaluative criterion,0.3054325749195901,0.2117182990146823,0.09371427590490777
CDRS-R,Time horizon,0.29497565149929816,0.16329185312144112,0.13168379837785704
CDRS-R,Adversity,0.20871717583002258,0.09937832019710335,0.10933885563291923
CDRS-R,Measurement proxies,0.46190126221375727,0.3538112767546808,0.10808998545907644
CDRS-R,Central tension,0.19708719952974896,0.13749100524107416,0.0595961942886748
CBCL-YSR,Foundational claim,0.11890447743883559,0.062488728163711094,0.056415749275124494
CBCL-YSR,Evaluative criterion,0.2659109842572107,0.21183099881700107,0.054079985440209644
CBCL-YSR,Time horizon,0.2951327119834536,0.15945074656477198,0.1356819654186816
CBCL-YSR,Adversity,0.21636511522910706,0.093988115506761,0.12237699972234606
CBCL-YSR,Measurement proxies,0.39875356945755436,0.3369774945440639,0.061776074913490464
CBCL-YSR,Central tension,0.1678605947543763,0.11607095383080523,0.05178964092357108
ADOS-2,Foundational claim,0.11872590632010971,0.11104261943297922,0.007683286887130492
ADOS-2,Evaluative criterion,0.22473165228125946,0.19768359056870022,0.027048061712559246
ADOS-2,Time horizon,0.28558502420946674,0.20230731659471368,0.08327770761475306
ADOS-2,Adversity,0.14685753982443317,0.09170368244410643,0.05515385738032674
ADOS-2,Measurement proxies,0.2898114399509113,0.2991532495241539,-0.009341809573242599
ADOS-2,Central tension,0.15395946777980996,0.11660726742137562,0.03735220035843434
CARS-2,Foundational claim,0.08173316161723876,0.0640380914917067,0.017695070125532064
CARS-2,Evaluative criterion,0.2521932145227662,0.20599226088116096,0.04620095364160526
CARS-2,Time horizon,0.2799825128042557,0.1469499375813894,0.13303257522286627
CARS-2,Adversity,0.16340037047264988,0.06916139563724599,0.09423897483540389
CARS-2,Measurement proxies,0.37373539578341364,0.33800023485670705,0.03573516092670659
CARS-2,Central tension,0.17939024079625143,0.08686293163472691,0.09252730916152452
NPI,Foundational claim,0.12441333284965517,0.07229026881481593,0.05212306403483924
NPI,Evaluative criterion,0.2643794290059236,0.19025360309141337,0.07412582591451022
NPI,Time horizon,0.29086796525401437,0.16306902383351796,0.12779894142049641
NPI,Adversity,0.2099812385230796,0.07777065023067653,0.13221058829240306
NPI,Measurement proxies,0.3965348326991516,0.30575384120320603,0.09078099149594554
NPI,Central tension,0.19779185176055547,0.14297329816672832,0.054818553593827146
DSHI,Foundational claim,0.14415425761471878,0.0710870376147813,0.07306721999993748
DSHI,Evaluative criterion,0.2308123343984756,0.1820469992711904,0.0487653351272852
DSHI,Time horizon,0.29106229953265506,0.15743451914047846,0.1336277803921766
DSHI,Adversity,0.19457301824015916,0.11554536890125489,0.07902764933890427
DSHI,Measurement proxies,0.3462496437692413,0.3127649249267641,0.03348471884247717
DSHI,Central tension,0.19218981788606726,0.1999165771290914,-0.007726759243024128
PCL-C,Foundational claim,0.09970059156925515,0.03682749704417987,0.06287309452507528
PCL-C,Evaluative criterion,0.27008993066241294,0.16969694545493463,0.1003929852074783
PCL-C,Time horizon,0.2577565942665211,0.13896031370379858,0.11879628056272251
PCL-C,Adversity,0.22709570238986276,0.10162369312729647,0.1254720092625663
PCL-C,Measurement proxies,0.3764010240732931,0.3128961579669052,0.06350486610638795
PCL-C,Central tension,0.17258363004462707,0.11645502213576864,0.05612860790885843
TSC-40,Foundational claim,0.0836060137580854,0.03432701863243337,0.049278995125652036
TSC-40,Evaluative criterion,0.24741487657722894,0.15301370616766286,0.09440117040956608
TSC-40,Time horizon,0.26641627938398194,0.18329461754133525,0.08312166184264669
TSC-40,Adversity,0.18599899449386248,0.11931140412169006,0.06668759037217242
TSC-40,Measurement proxies,0.36141766586724855,0.31888095756172163,0.042536708305526916
TSC-40,Central tension,0.14707614392562207,0.1222563878876598,0.02481975603796227
CTQ,Foundational claim,0.1240258724825184,0.060858261211575226,0.06316761127094317
CTQ,Evaluative criterion,0.23671963802039186,0.16665381440348104,0.07006582361691083
CTQ,Time horizon,0.2651844847385847,0.21066230080602044,0.05452218393256425
CTQ,Adversity,0.25204235153217913,0.14836823171801128,0.10367411981416785
