dimension,mean_hedonic,mean_eudaimonic,mean_delta,cohen_d,mean_delta_weighted,cohen_d_weighted,wilcoxon_stat,wilcoxon_p,ttest_p,n_words,p_adjusted
Foundational claim,0.057915748780948816,0.05945954355336231,-0.0015437947724135084,-0.06644897998248507,-0.002570305531284291,-0.1473162434124359,20123734.0,0.999999985021134,1.5979928745401187e-10,9285,1.0
Evaluative criterion,0.08247821141229557,0.09152724995316194,-0.00904903854086639,-0.3379706605978162,-0.01535150050537018,-0.6798949347472784,13355175.0,1.0,2.2043947054307865e-220,9285,1.0
Time horizon,0.07772517594486521,0.08449335975119414,-0.006768183806328926,-0.18124192219216687,-0.004157559683180709,-0.13046756191112371,17186604.0,1.0,3.163827319961629e-67,9285,1.0
Adversity,0.08593058682729018,0.08748758286762477,-0.001556996040334584,-0.037962012603716164,-0.004508078510102992,-0.13583614382074363,20230123.0,0.9999998549712905,0.0002556276709345176,9285,1.0
Measurement proxies,0.06565081991521858,0.0764898796108468,-0.010839059695628228,-0.3539907647170771,-0.019919259383500705,-0.7545407385081395,12727454.0,1.0,2.3208373038293057e-240,9285,1.0
Central tension,0.08032711999897976,0.11079429646447629,-0.030467176465496522,-0.775606649040946,-0.033862695423384916,-1.15201814418135,5530380.0,1.0,0.0,9285,1.0
