year,Foundational claim,Evaluative criterion,Time horizon,Adversity,Measurement proxies,Central tension,aggregate
1916,-0.0030050348045656435,-0.016060770535789637,-0.006909088773642171,-0.004700774541779964,-0.02107560224392259,-0.03466907487223199,-0.014403390961988666
1917,-0.003162626600297168,-0.016152689214959534,-0.0056407554632630285,-0.005136906931284738,-0.020298628945561503,-0.03427748706869098,-0.014111515704009493
1918,-0.0034090290217722026,-0.016543909360036503,-0.0060031321121703386,-0.005139667435926766,-0.020591821677846137,-0.034680058045598566,-0.014394602942225087
1919,-0.002810336536896265,-0.014553290539812717,-0.005222406606579769,-0.004131416189171431,-0.018364976642526093,-0.03305163399968354,-0.013022343419111635
1920,-0.003396389977799892,-0.01658824885441989,-0.006057068610241474,-0.0054076246484967075,-0.020866899374395023,-0.03493471124273095,-0.014541823784680654
1921,-0.003142856871111719,-0.016353421263717905,-0.005707484666240907,-0.005037270093711439,-0.020752622564286793,-0.0348020348431344,-0.01429928171703386
1922,-0.0034847804410973893,-0.017128630730571148,-0.00605997397235191,-0.005378713501986901,-0.02152061589945336,-0.03518238991952799,-0.01479251741083145
1923,-0.0036488064554354594,-0.017272529571877256,-0.007028714563610738,-0.005230214726949354,-0.022043299954459406,-0.0354690188751796,-0.01511543069125197
1924,-0.003503700561308523,-0.016996311231779658,-0.006692124488028058,-0.005583964932568193,-0.02120964676728368,-0.03549724981198733,-0.014913832965492575
1925,-0.0036774015006518466,-0.017337772514537164,-0.007902880075394303,-0.007151504374992985,-0.02206493094933256,-0.035865724415484024,-0.01566670230506548
1926,-0.003310140674748446,-0.01712818639843411,-0.006759639600207523,-0.0059471493815967755,-0.022036165641969023,-0.035094147738597994,-0.015045904905925646
1927,-0.003878220243938477,-0.017609166068808833,-0.006984686958760181,-0.0053983678694003055,-0.022481417156116644,-0.035273532045939186,-0.015270898390493939
1928,-0.0035947762781377377,-0.016902843836308298,-0.006741911606708006,-0.005288817662905429,-0.021647762407226635,-0.03522782584112629,-0.014900656272068732
1929,-0.0038143947513237866,-0.017763321509898313,-0.006666849616250863,-0.005486869459844583,-0.02247781585592902,-0.03525278216642323,-0.015243672226611632
1930,-0.0038166698035270704,-0.017764365716166085,-0.006521037102422614,-0.005975994621886063,-0.022597730986423165,-0.03531142319006676,-0.01533120357008196
1931,-0.0037328761250863826,-0.017628180756949226,-0.007326680876712204,-0.005970219823060141,-0.022224732668243343,-0.035779762588798766,-0.015443742139808344
1932,-0.0032152405074849883,-0.017652341120889942,-0.006750050784175948,-0.00570131875600337,-0.02225067412324503,-0.03561931035326759,-0.015198155940844477
1933,-0.003955170517461943,-0.017597983078295635,-0.006820013226280897,-0.005464787133468125,-0.022354416615412428,-0.03598467112954515,-0.015362840283410695
1934,-0.004061988965102844,-0.017881555232979802,-0.0072078205635881095,-0.005359867824089443,-0.0229826132598328,-0.03571925932553922,-0.015535517528522036
1935,-0.003318449829172386,-0.016790348728438917,-0.006976974990590012,-0.005858812120831839,-0.02175977452691669,-0.03554924341580173,-0.015042267268625264
1936,-0.003512575673503226,-0.017224304016573863,-0.0061895127564192695,-0.005193848600416764,-0.021886748804271897,-0.03505149998018747,-0.014843081638562081
1937,-0.004420396192972711,-0.018145704379559084,-0.007547919236535617,-0.00498119507644656,-0.022882949693320064,-0.03539203693496795,-0.015561700252300331
1938,-0.00402153025984828,-0.017365882727476335,-0.007336976031080369,-0.005491594294034509,-0.022671325366777344,-0.035633469340881754,-0.01542012967001643
1939,-0.0038280446709678412,-0.017576641787194505,-0.006482009968714557,-0.005150287448882198,-0.02246105535554005,-0.03530234701274759,-0.015133397707341123
1940,-0.0030881115975585115,-0.016743594133053718,-0.006507387001550626,-0.005426012706727975,-0.021316317419392546,-0.03535630748270353,-0.014739621723497819
1941,-0.0026389182315799337,-0.016551038591083967,-0.0054464584583722095,-0.007666018890721432,-0.020272695376336535,-0.034223897605464085,-0.014466504525593027
1942,-0.003357530196331988,-0.01678794578443971,-0.0057603686996293615,-0.005922036239719691,-0.020449709290184775,-0.03475547452322824,-0.014505510788922293
1943,-0.0033254050977883937,-0.01612746752275763,-0.005934357744577478,-0.004711040974371847,-0.020542154005134938,-0.03397959463379633,-0.0141033366630711
1944,-0.0031991612885484883,-0.01572252350972461,-0.0054537165497334245,-0.004674648517025775,-0.019613429889365843,-0.033741566210725625,-0.013734174327520629
1945,-0.0035212111969352886,-0.017088178179433554,-0.0059509410509093925,-0.005356286502382845,-0.02113098475724463,-0.03493727220275833,-0.01466414564827734
1946,-0.00360366716361834,-0.01767117009628295,-0.005834883038871087,-0.005680487399821153,-0.022623669689477585,-0.035998609600769615,-0.015235414498140122
1947,-0.004158229687969878,-0.018279969090371776,-0.0069392848864553835,-0.005739624480644157,-0.023137487828438986,-0.03614663321129176,-0.015733538197528655
1948,-0.003695100463305905,-0.01796713162498492,-0.006722358842559126,-0.006081874481416744,-0.022812914631992975,-0.03624476143100309,-0.015587356912543792
1949,-0.0038504185429712686,-0.017967198983024704,-0.007036483065033721,-0.005979351621817867,-0.023104396629161472,-0.03591142943870633,-0.015641546380119227
1950,-0.003629371338070859,-0.017072482274659014,-0.006492064243655676,-0.004736408641429305,-0.0219919941299074,-0.03469139614744035,-0.014768952795860435
1951,-0.004032595543439389,-0.01827841299184491,-0.0066202796330326755,-0.005082583698363922,-0.02305083839119723,-0.03535129816103054,-0.015402668069818111
1952,-0.004336024490094777,-0.018800926305775234,-0.007664901284094736,-0.007341274260568189,-0.023762628837085503,-0.036408171037660864,-0.01638565436921322
1953,-0.0036096979455845185,-0.01784957899846738,-0.007313698244878372,-0.006477303296553317,-0.023212590423136458,-0.03596321355620799,-0.015737680410804672
1954,-0.003111585656391785,-0.015574376823851925,-0.0038412583348057215,-0.0040879780593701676,-0.02085170945287392,-0.03428014307589572,-0.013624508567198206
