scale,weight
IRI,0.002213826081823012
YBOCS-II,1.4758840545486746e-05
PSAS,0.003970128106735935
BASIS-24,4.427652163646024e-05
SIAS,0.002080996516913631
SPS,0.0002804179703642482
CSSQ,0.0016972666627309758
PSQ,0.004811382017828679
ASRS,0.010847747800932759
BARS,0.00013282956490938072
SAS,0.00017710608654584095
SAPS,0.009667040557293819
CDRS-R,0.0006346301434559301
CBCL-YSR,8.855304327292048e-05
ADOS-2,0.0023614144872778796
CARS-2,0.00036897101363716865
NPI,0.0055050475234665565
DSHI,0.00039848869472814216
PCL-C,0.0016382313005490288
TSC-40,0.00017710608654584095
CTQ,0.010036011570930987
DES,0.0010036011570930987
PHQ-4,0.004929452742192573
SDI,0.00013282956490938072
BRIEF,0.002981285790188323
ABAS-3,0.00029517681090973494
ACT,0.0
VIA-IS,0.00036897101363716865
GRIT-S,0.0007379420272743373
SPQ,0.0015349194167306216
SOS-10,4.427652163646024e-05
BIS-11,0.002376173327823366
SCID-5-PD,0.0001918649270913277
AQ,0.0025827970954601805
MPSS,0.002036719995277171
PAI,0.0007969773894562843
OCI-R,0.0009740834760021252
PSS-10,0.0058592596965582385
STAXI-2,0.00045752405691008917
MAST,2.951768109097349e-05
FTND,0.0016825078221854891
BES,0.008146879981108685
EDE-Q,0.004870417380010626
DASS-42,0.0007231831867288506
MFI,0.02041147647440817
FSS,0.00811736230001771
SRS,0.00013282956490938072
TICS,0.009770352441112226
MAIA,0.0033354979632800046
DAS,0.0008560127516382313
RAS,0.0002804179703642482
MSPSS,0.007615561721471161
UCLA-LS,0.006036365783104079
CSS,0.00014758840545486747
WAI,0.0012692602869118603
CSQ-R,8.855304327292048e-05
DERS-SF,0.00036897101363716865
RSES-SF,0.0
SRIS,0.0008412539110927446
GQ-6,0.00033945333254619515
ILS,0.0
WBSI,4.427652163646024e-05
ORS,0.00020662376763681446
SRS-Therapy,0.00014758840545486747
BSL-23,0.0003542121730916819
MSI-BPD,0.0002213826081823012
SOFAS,0.0005755947812739831
TSK,0.006464372158923195
PCS,0.006434854477832221
AIS,0.003911092744553988
GDS-15,0.003837298541826554
CORE-10,0.0005755947812739831
PHQ-A,0.0006198713029104434
K-6,0.0031141153550977036
EAT-26,0.0026713501387331012
HONOS,0.0009593246354566385
Q-LES-Q,0.0006789066650923903
QoL-BD,8.855304327292048e-05
DOCS,0.00013282956490938072
PI-WSUR,1.4758840545486746e-05
SIAS-6,7.379420272743374e-05
SPS-6,0.0003099356514552217
ISEL-12,5.903536218194698e-05
DASS-12,0.00011807072436389397
BIEPS,2.951768109097349e-05
BBC-SWB,0.0
ICECAP-A,0.0007084243461833638
SPWB,0.00017710608654584095
MHC-LF,0.0
Cantril-Ladder,0.0002804179703642482
FLCS,0.0017415431843674362
PWB-S,0.0
