scale,weight
PHQ-9,0.06846626129051302
GAD-7,0.03294173209752642
BDI-II,0.012810673593482496
BAI,0.01778440285731153
DASS-21,0.017075978511128166
SCL-90-R,0.002863215065824429
HAM-A,0.008264950705472578
STAI,0.021488871834228703
PSQI,0.060954011452860266
PCL-5,0.008235433024381605
AUDIT,0.0055050475234665565
OQ-45,0.0006198713029104434
K10,0.007615561721471161
CORE-OM,0.0004427652163646024
SDS,0.0014168486923667276
WHODAS-2.0,0.002922250428006376
Y-BOCS,0.004796623177283192
EPDS,0.017489226046401796
C-SSRS,0.0030698388334612432
EQ-5D,0.05646732392703229
MDQ,0.0005903536218194699
YMRS,0.0034535686876438986
PSS,0.07091622882106381
QIDS-SR,0.0007969773894562843
GHQ-12,0.003896333904008501
PANAS,0.004560481728555404
IES-R,0.004147234193281776
CAPS-5,0.0018300962276403567
DAST-10,0.00023614144872778793
CAGE,0.0002213826081823012
ASSIST,0.0011807072436389398
PHQ-15,0.0024056910089143395
WHOQOL-BREF,0.013415786055847452
PROMIS,0.03252848456225279
MOS-SS,0.0003099356514552217
ASI,0.0007527008678198241
BHS,0.0038668162229175277
DERS,0.0056969124505578846
PCQ,0.0020957553574591182
WEMWBS,0.0026418324576421275
SWLS,0.007128519983470099
WHO-5,0.0070547257807426645
SCARED,0.000929806954365665
SDQ,0.013209162288210638
RCADS,0.001328295649093807
ACE,0.0008707715921837181
MBI,0.023850286321506584
WHOQOL-100,0.0002213826081823012
MHC-SF,0.0014316075329122145
SF-12,0.016485624889308697
SAS-SR,5.903536218194698e-05
RRS,0.042033177873546254
AUDIT-C,0.003202668398370624
ERQ,0.0038077808607355807
AAQ-II,0.0014316075329122145
WSAS,0.001165948403093453
MFQ,0.0012987779680028338
SPIN,0.0004870417380010626
PGI,0.009150481138201784
RYFF-PWB,1.4758840545486746e-05
BPNS,0.001520160576185135
MLQ,0.0018743727492768168
FS,0.0007231831867288506
PIL,0.0001918649270913277
COMPAS-W,7.379420272743374e-05
SHS,0.010773953598205325
PWI,0.0037044689769171733
PGIS-II,8.855304327292048e-05
LOT-R,0.0009002892732746916
SWB,0.00544601216128461
SOC-13,0.0009740834760021252
FMI,0.005283664915284255
MAAS,0.0047080701340102725
RSE,0.009829387803294173
PSC-17,0.00042800637581911566
SRS-2,0.0020662376763681445
GAD-2,0.002036719995277171
PHQ-2,0.004958970423283547
QOLS,0.014271798807485685
VR-12,0.0024499675305508
Connor-Davidson-10,0.0007969773894562843
FFMQ,0.0024942440521872602
SCS,0.049191215538107326
PERMA-P,0.00039848869472814216
SBI,0.006877619694196824
EPOCH,0.013548615620756833
CASP-19,0.00029517681090973494
SPF-IL,0.0
BSSI,0.0012692602869118603
LSAS,0.0017710608654584097
PDQ-4,0.00014758840545486747
WHODAS-12,0.00016234724600035422
DTS,0.009047169254383376
ZSDS,0.0012692602869118603
ZSAS,0.000929806954365665
HDRS-21,0.0001918649270913277
TAS-20,0.0033059802821890313
